"age","code","date","cum.deaths","daily.deaths"
"30-39","TX",2020-08-16,271,2
"40-49","TX",2020-08-16,707,7
"50-59","TX",2020-08-16,1476,17
"60-64","TX",2020-08-16,1212,13
"65-69","TX",2020-08-16,1490,16
"70-74","TX",2020-08-16,1679,19
"75-79","TX",2020-08-16,1604,17
"80+","TX",2020-08-16,4432,45
"0-0","TX",2020-08-17,3,0
"1-9","TX",2020-08-17,2,0
"10-19","TX",2020-08-17,11,0
"20-29","TX",2020-08-17,105,1
"30-39","TX",2020-08-17,273,2
"40-49","TX",2020-08-17,714,7
"50-59","TX",2020-08-17,1493,17
"60-64","TX",2020-08-17,1225,13
"65-69","TX",2020-08-17,1505,15
"70-74","TX",2020-08-17,1697,18
"75-79","TX",2020-08-17,1621,17
"80+","TX",2020-08-17,4476,44
"0-0","TX",2020-08-18,3,0
"1-9","TX",2020-08-18,2,0
"10-19","TX",2020-08-18,11,0
"20-29","TX",2020-08-18,106,1
"30-39","TX",2020-08-18,276,3
"40-49","TX",2020-08-18,722,8
"50-59","TX",2020-08-18,1511,18
"60-64","TX",2020-08-18,1239,14
"65-69","TX",2020-08-18,1522,17
"70-74","TX",2020-08-18,1717,20
"75-79","TX",2020-08-18,1639,18
"80+","TX",2020-08-18,4524,48
"0-0","TX",2020-08-19,3,0
"1-9","TX",2020-08-19,2,0
"10-19","TX",2020-08-19,11,0
"20-29","TX",2020-08-19,107,1
"30-39","TX",2020-08-19,279,3
"40-49","TX",2020-08-19,730,8
"50-59","TX",2020-08-19,1530,19
"60-64","TX",2020-08-19,1254,15
"65-69","TX",2020-08-19,1540,18
"70-74","TX",2020-08-19,1738,21
"75-79","TX",2020-08-19,1658,19
"80+","TX",2020-08-19,4574,50
"0-0","TX",2020-08-20,3,0
"1-9","TX",2020-08-20,2,0
"10-19","TX",2020-08-20,11,0
"20-29","TX",2020-08-20,108,1
"30-39","TX",2020-08-20,282,3
"40-49","TX",2020-08-20,737,7
"50-59","TX",2020-08-20,1547,17
"60-64","TX",2020-08-20,1268,14
"65-69","TX",2020-08-20,1556,16
"70-74","TX",2020-08-20,1757,19
"75-79","TX",2020-08-20,1675,17
"80+","TX",2020-08-20,4620,46
"0-0","TX",2020-08-21,3,0
"1-9","TX",2020-08-21,2,0
"10-19","TX",2020-08-21,11,0
"20-29","TX",2020-08-21,109,1
"30-39","TX",2020-08-21,284,2
"40-49","TX",2020-08-21,743,6
"50-59","TX",2020-08-21,1562,15
"60-64","TX",2020-08-21,1280,12
"65-69","TX",2020-08-21,1570,14
"70-74","TX",2020-08-21,1773,16
"75-79","TX",2020-08-21,1690,15
"80+","TX",2020-08-21,4660,40
"0-0","TX",2020-08-22,3,0
"1-9","TX",2020-08-22,2,0
"10-19","TX",2020-08-22,11,0
"20-29","TX",2020-08-22,110,1
"30-39","TX",2020-08-22,286,2
"40-49","TX",2020-08-22,749,6
"50-59","TX",2020-08-22,1575,13
"60-64","TX",2020-08-22,1290,10
"65-69","TX",2020-08-22,1582,12
"70-74","TX",2020-08-22,1787,14
"75-79","TX",2020-08-22,1703,13
"80+","TX",2020-08-22,4694,34
"0-0","TX",2020-08-23,3,0
"1-9","TX",2020-08-23,2,0
"10-19","TX",2020-08-23,11,0
"20-29","TX",2020-08-23,111,1
"30-39","TX",2020-08-23,288,2
"40-49","TX",2020-08-23,755,6
"50-59","TX",2020-08-23,1588,13
"60-64","TX",2020-08-23,1300,10
"65-69","TX",2020-08-23,1595,13
"70-74","TX",2020-08-23,1802,15
"75-79","TX",2020-08-23,1716,13
"80+","TX",2020-08-23,4729,35
"0-0","TX",2020-08-24,3,0
"1-9","TX",2020-08-24,2,0
"10-19","TX",2020-08-24,11,0
"20-29","TX",2020-08-24,112,1
"30-39","TX",2020-08-24,290,2
"40-49","TX",2020-08-24,761,6
"50-59","TX",2020-08-24,1603,15
"60-64","TX",2020-08-24,1312,12
"65-69","TX",2020-08-24,1609,14
"70-74","TX",2020-08-24,1818,16
"75-79","TX",2020-08-24,1731,15
"80+","TX",2020-08-24,4767,38
"0-0","TX",2020-08-25,3,0
"1-9","TX",2020-08-25,2,0
"10-19","TX",2020-08-25,11,0
"20-29","TX",2020-08-25,113,1
"30-39","TX",2020-08-25,292,2
"40-49","TX",2020-08-25,767,6
"50-59","TX",2020-08-25,1617,14
"60-64","TX",2020-08-25,1323,11
"65-69","TX",2020-08-25,1622,13
"70-74","TX",2020-08-25,1833,15
"75-79","TX",2020-08-25,1745,14
"80+","TX",2020-08-25,4803,36
"0-0","TX",2020-08-26,3,0
"1-9","TX",2020-08-26,2,0
"10-19","TX",2020-08-26,11,0
"20-29","TX",2020-08-26,114,1
"30-39","TX",2020-08-26,294,2
"40-49","TX",2020-08-26,772,5
"50-59","TX",2020-08-26,1630,13
"60-64","TX",2020-08-26,1333,10
"65-69","TX",2020-08-26,1634,12
"70-74","TX",2020-08-26,1847,14
"75-79","TX",2020-08-26,1758,13
"80+","TX",2020-08-26,4836,33
"0-0","TX",2020-08-27,3,0
"1-9","TX",2020-08-27,2,0
"10-19","TX",2020-08-27,11,0
"20-29","TX",2020-08-27,115,1
"30-39","TX",2020-08-27,296,2
"40-49","TX",2020-08-27,778,6
"50-59","TX",2020-08-27,1645,15
"60-64","TX",2020-08-27,1345,12
"65-69","TX",2020-08-27,1648,14
"70-74","TX",2020-08-27,1863,16
"75-79","TX",2020-08-27,1773,15
"80+","TX",2020-08-27,4875,39
"0-0","TX",2020-08-28,3,0
"1-9","TX",2020-08-28,2,0
"10-19","TX",2020-08-28,11,0
"20-29","TX",2020-08-28,116,1
"30-39","TX",2020-08-28,298,2
"40-49","TX",2020-08-28,784,6
"50-59","TX",2020-08-28,1659,14
"60-64","TX",2020-08-28,1356,11
"65-69","TX",2020-08-28,1661,13
"70-74","TX",2020-08-28,1878,15
"75-79","TX",2020-08-28,1787,14
"80+","TX",2020-08-28,4912,37
"0-0","TX",2020-08-29,3,0
"1-9","TX",2020-08-29,2,0
"10-19","TX",2020-08-29,11,0
"20-29","TX",2020-08-29,117,1
"30-39","TX",2020-08-29,300,2
"40-49","TX",2020-08-29,789,5
"50-59","TX",2020-08-29,1670,11
"60-64","TX",2020-08-29,1365,9
"65-69","TX",2020-08-29,1671,10
"70-74","TX",2020-08-29,1890,12
"75-79","TX",2020-08-29,1798,11
"80+","TX",2020-08-29,4941,29
"0-0","TX",2020-08-30,3,0
"1-9","TX",2020-08-30,2,0
"10-19","TX",2020-08-30,11,0
"20-29","TX",2020-08-30,118,1
"30-39","TX",2020-08-30,302,2
"40-49","TX",2020-08-30,794,5
"50-59","TX",2020-08-30,1682,12
"60-64","TX",2020-08-30,1374,9
"65-69","TX",2020-08-30,1682,11
"70-74","TX",2020-08-30,1903,13
"75-79","TX",2020-08-30,1810,12
"80+","TX",2020-08-30,4972,31
"0-0","TX",2020-08-31,3,0
"1-9","TX",2020-08-31,2,0
"10-19","TX",2020-08-31,11,0
"20-29","TX",2020-08-31,118,0
"30-39","TX",2020-08-31,303,1
"40-49","TX",2020-08-31,799,5
"50-59","TX",2020-08-31,1693,11
"60-64","TX",2020-08-31,1383,9
"65-69","TX",2020-08-31,1692,10
"70-74","TX",2020-08-31,1915,12
"75-79","TX",2020-08-31,1820,10
"80+","TX",2020-08-31,5000,28
"0-0","TX",2020-09-01,3,0
"1-9","TX",2020-09-01,2,0
"10-19","TX",2020-09-01,11,0
"20-29","TX",2020-09-01,119,1
"30-39","TX",2020-09-01,305,2
"40-49","TX",2020-09-01,805,6
"50-59","TX",2020-09-01,1707,14
"60-64","TX",2020-09-01,1394,11
"65-69","TX",2020-09-01,1705,13
"70-74","TX",2020-09-01,1929,14
"75-79","TX",2020-09-01,1833,13
"80+","TX",2020-09-01,5036,36
"0-0","TX",2020-09-02,3,0
"1-9","TX",2020-09-02,2,0
"10-19","TX",2020-09-02,11,0
"20-29","TX",2020-09-02,119,0
"30-39","TX",2020-09-02,306,1
"40-49","TX",2020-09-02,810,5
"50-59","TX",2020-09-02,1717,10
"60-64","TX",2020-09-02,1402,8
"65-69","TX",2020-09-02,1715,10
"70-74","TX",2020-09-02,1940,11
"75-79","TX",2020-09-02,1843,10
"80+","TX",2020-09-02,5063,27
"0-0","TX",2020-09-03,3,0
"1-9","TX",2020-09-03,2,0
"10-19","TX",2020-09-03,11,0
"20-29","TX",2020-09-03,119,0
"30-39","TX",2020-09-03,308,2
"40-49","TX",2020-09-03,815,5
"50-59","TX",2020-09-03,1729,12
"60-64","TX",2020-09-03,1411,9
"65-69","TX",2020-09-03,1726,11
"70-74","TX",2020-09-03,1952,12
"75-79","TX",2020-09-03,1854,11
"80+","TX",2020-09-03,5093,30
"0-0","TX",2020-09-04,3,0
"1-9","TX",2020-09-04,2,0
"10-19","TX",2020-09-04,11,0
"20-29","TX",2020-09-04,120,1
"30-39","TX",2020-09-04,310,2
"40-49","TX",2020-09-04,820,5
"50-59","TX",2020-09-04,1741,12
"60-64","TX",2020-09-04,1421,10
"65-69","TX",2020-09-04,1738,12
"70-74","TX",2020-09-04,1964,12
