"date","age","cum.deaths","daily.deaths","code","weekly.deaths"
2020-05-20,"0-19",0,0,"MS",NA
2020-05-21,"20-49",1,0,"MS",NA
2020-05-21,"30-39",10,0,"MS",NA
2020-05-21,"40-49",19,0,"MS",NA
2020-05-21,"50-59",44,2,"MS",NA
2020-05-21,"60-69",133,5,"MS",NA
2020-05-21,"70-79",165,5,"MS",NA
2020-05-21,"80-89",142,3,"MS",NA
2020-05-21,"90+",82,1,"MS",NA
2020-05-21,"0-19",0,0,"MS",NA
2020-05-22,"20-49",2,1,"MS",NA
2020-05-22,"30-39",10,0,"MS",NA
2020-05-22,"40-49",21,2,"MS",NA
2020-05-22,"50-59",46,2,"MS",NA
2020-05-22,"60-69",134,1,"MS",NA
2020-05-22,"70-79",170,5,"MS",NA
2020-05-22,"80-89",149,7,"MS",NA
2020-05-22,"90+",84,2,"MS",NA
2020-05-22,"0-19",0,0,"MS",NA
2020-05-23,"20-49",2,0,"MS",NA
2020-05-23,"30-39",10,0,"MS",NA
2020-05-23,"40-49",21,0,"MS",NA
2020-05-23,"50-59",47,1,"MS",NA
2020-05-23,"60-69",138,4,"MS",NA
2020-05-23,"70-79",172,2,"MS",NA
2020-05-23,"80-89",150,1,"MS",NA
2020-05-23,"90+",85,1,"MS",NA
2020-05-23,"0-19",0,0,"MS",NA
2020-05-24,"20-49",2,0,"MS",NA
2020-05-24,"30-39",10,0,"MS",NA
2020-05-24,"40-49",21,0,"MS",NA
2020-05-24,"50-59",48,1,"MS",NA
2020-05-24,"60-69",141,3,"MS",NA
2020-05-24,"70-79",177,5,"MS",NA
2020-05-24,"80-89",151,1,"MS",NA
2020-05-24,"90+",85,0,"MS",NA
2020-05-24,"0-19",0,0,"MS",NA
2020-05-25,"20-49",2,0,"MS",NA
2020-05-25,"30-39",10,0,"MS",NA
2020-05-25,"40-49",21,0,"MS",NA
2020-05-25,"50-59",49,1,"MS",NA
2020-05-25,"60-69",144,3,"MS",NA
2020-05-25,"70-79",185,8,"MS",NA
2020-05-25,"80-89",153,2,"MS",NA
2020-05-25,"90+",88,3,"MS",NA
2020-05-25,"0-19",0,0,"MS",NA
2020-05-26,"20-49",2,0,"MS",NA
2020-05-26,"30-39",11,1,"MS",NA
2020-05-26,"40-49",22,1,"MS",NA
2020-05-26,"50-59",52,3,"MS",NA
2020-05-26,"60-69",148,4,"MS",NA
2020-05-26,"70-79",189,4,"MS",NA
2020-05-26,"80-89",157,4,"MS",NA
2020-05-26,"90+",89,1,"MS",NA
2020-05-26,"0-19",0,0,"MS",NA
2020-05-14,"0-9",0,NA,"MD",NA
2020-05-14,"10-19",0,NA,"MD",NA
2020-05-14,"20-29",10,NA,"MD",NA
2020-05-14,"30-39",20,NA,"MD",NA
2020-05-14,"40-49",48,NA,"MD",NA
2020-05-14,"50-59",116,NA,"MD",NA
2020-05-14,"60-69",271,NA,"MD",NA
2020-05-14,"70-79",428,NA,"MD",NA
2020-05-14,"80+",771,NA,"MD",NA
2020-05-15,"0-9",0,0,"MD",NA
2020-05-15,"10-19",0,0,"MD",NA
2020-05-15,"20-29",10,0,"MD",NA
2020-05-15,"30-39",21,1,"MD",NA
2020-05-15,"40-49",52,3,"MD",NA
2020-05-15,"50-59",118,2,"MD",NA
2020-05-15,"60-69",280,9,"MD",NA
2020-05-15,"70-79",441,13,"MD",NA
2020-05-15,"80+",790,19,"MD",NA
2020-05-16,"0-9",0,0,"MD",NA
2020-05-16,"10-19",0,0,"MD",NA
2020-05-16,"20-29",10,0,"MD",NA
2020-05-16,"30-39",22,1,"MD",NA
2020-05-16,"40-49",51,0,"MD",NA
2020-05-16,"50-59",123,5,"MD",NA
2020-05-16,"60-69",290,10,"MD",NA
2020-05-16,"70-79",449,8,"MD",NA
2020-05-16,"80+",817,27,"MD",NA
2020-05-17,"0-9",0,0,"MD",NA
2020-05-17,"10-19",0,0,"MD",NA
2020-05-17,"20-29",10,0,"MD",NA
2020-05-17,"30-39",23,1,"MD",NA
2020-05-17,"40-49",51,0,"MD",NA
2020-05-17,"50-59",124,1,"MD",NA
2020-05-17,"60-69",295,5,"MD",NA
2020-05-17,"70-79",459,10,"MD",NA
2020-05-17,"80+",841,24,"MD",NA
2020-05-18,"0-9",0,0,"MD",NA
2020-05-18,"10-19",0,0,"MD",NA
2020-05-18,"20-29",10,0,"MD",NA
2020-05-18,"30-39",23,0,"MD",NA
2020-05-18,"40-49",51,0,"MD",NA
2020-05-18,"50-59",126,2,"MD",NA
2020-05-18,"60-69",302,7,"MD",NA
2020-05-18,"70-79",465,6,"MD",NA
2020-05-18,"80+",852,11,"MD",NA
2020-05-19,"0-9",0,0,"MD",NA
2020-05-19,"10-19",1,1,"MD",NA
2020-05-19,"20-29",10,0,"MD",NA
2020-05-19,"30-39",24,1,"MD",NA
2020-05-19,"40-49",53,2,"MD",NA
2020-05-19,"50-59",131,5,"MD",NA
2020-05-19,"60-69",306,4,"MD",NA
2020-05-19,"70-79",478,13,"MD",NA
2020-05-19,"80+",884,32,"MD",NA
2020-05-20,"0-9",0,0,"MD",NA
2020-05-20,"10-19",1,0,"MD",NA
2020-05-20,"20-29",10,0,"MD",NA
2020-05-20,"30-39",25,1,"MD",NA
2020-05-20,"40-49",54,1,"MD",NA
2020-05-20,"50-59",135,4,"MD",NA
2020-05-20,"60-69",311,5,"MD",NA
2020-05-20,"70-79",495,17,"MD",NA
2020-05-20,"80+",908,24,"MD",NA
2020-05-21,"0-9",0,0,"MD",NA
2020-05-21,"10-19",1,0,"MD",NA
2020-05-21,"20-29",11,1,"MD",NA
2020-05-21,"30-39",28,3,"MD",NA
2020-05-21,"40-49",55,1,"MD",NA
2020-05-21,"50-59",138,3,"MD",NA
2020-05-21,"60-69",319,8,"MD",NA
2020-05-21,"70-79",507,12,"MD",NA
2020-05-21,"80+",929,21,"MD",NA
2020-05-22,"0-9",0,0,"MD",NA
2020-05-22,"10-19",1,0,"MD",NA
2020-05-22,"20-29",11,0,"MD",NA
2020-05-22,"30-39",28,0,"MD",NA
2020-05-22,"40-49",56,1,"MD",NA
2020-05-22,"50-59",145,7,"MD",NA
2020-05-22,"60-69",327,8,"MD",NA
2020-05-22,"70-79",514,7,"MD",NA
2020-05-22,"80+",952,23,"MD",NA
2020-05-23,"0-9",0,0,"MD",NA
2020-05-23,"10-19",1,0,"MD",NA
2020-05-23,"20-29",12,1,"MD",NA
2020-05-23,"30-39",28,0,"MD",NA
2020-05-23,"40-49",57,1,"MD",NA
2020-05-23,"50-59",146,1,"MD",NA
2020-05-23,"60-69",333,6,"MD",NA
2020-05-23,"70-79",528,14,"MD",NA
2020-05-23,"80+",971,19,"MD",NA
2020-05-24,"0-9",0,0,"MD",NA
2020-05-24,"10-19",1,0,"MD",NA
2020-05-24,"20-29",12,0,"MD",NA
2020-05-24,"30-39",28,0,"MD",NA
2020-05-24,"40-49",58,1,"MD",NA
2020-05-24,"50-59",148,2,"MD",NA
2020-05-24,"60-69",338,5,"MD",NA
2020-05-24,"70-79",534,6,"MD",NA
2020-05-24,"80+",984,13,"MD",NA
2020-05-25,"0-9",0,0,"MD",NA
2020-05-25,"10-19",1,0,"MD",NA
2020-05-25,"20-29",12,0,"MD",NA
2020-05-25,"30-39",28,0,"MD",NA
2020-05-25,"40-49",61,3,"MD",NA
2020-05-25,"50-59",150,2,"MD",NA
2020-05-25,"60-69",346,8,"MD",NA
2020-05-25,"70-79",541,7,"MD",NA
2020-05-25,"80+",997,13,"MD",NA
2020-05-26,"0-9",0,0,"MD",NA
2020-05-26,"10-19",1,0,"MD",NA
2020-05-26,"20-29",12,0,"MD",NA
2020-05-26,"30-39",28,0,"MD",NA
2020-05-26,"40-49",65,4,"MD",NA
2020-05-26,"50-59",151,1,"MD",NA
2020-05-26,"60-69",351,5,"MD",NA
2020-05-26,"70-79",550,9,"MD",NA
2020-05-26,"80+",1007,10,"MD",NA
2020-05-13,"0-9",0,NA,"VT",NA
2020-05-13,"10-19",0,NA,"VT",NA
2020-05-13,"20-29",0,NA,"VT",NA
2020-05-13,"30-39",1,NA,"VT",NA
2020-05-13,"40-49",2,NA,"VT",NA
2020-05-13,"50-59",1,NA,"VT",NA
2020-05-13,"60-69",10,NA,"VT",NA
2020-05-13,"70-79",17,NA,"VT",NA
2020-05-13,"80+",22,NA,"VT",NA
2020-05-14,"0-9",0,0,"VT",NA
2020-05-14,"10-19",0,0,"VT",NA
2020-05-14,"20-29",0,0,"VT",NA
2020-05-14,"30-39",1,0,"VT",NA
2020-05-14,"40-49",2,0,"VT",NA
2020-05-14,"50-59",1,0,"VT",NA
2020-05-14,"60-69",10,0,"VT",NA
2020-05-14,"70-79",17,0,"VT",NA
2020-05-14,"80+",22,0,"VT",NA
2020-05-15,"0-9",0,0,"VT",NA
2020-05-15,"10-19",0,0,"VT",NA
2020-05-15,"20-29",0,0,"VT",NA
2020-05-15,"30-39",1,0,"VT",NA
2020-05-15,"40-49",2,0,"VT",NA
2020-05-15,"50-59",1,0,"VT",NA
2020-05-15,"60-69",10,0,"VT",NA
2020-05-15,"70-79",17,0,"VT",NA
2020-05-15,"80+",22,0,"VT",NA
2020-05-16,"0-9",0,0,"VT",NA
2020-05-16,"10-19",0,0,"VT",NA
2020-05-16,"20-29",0,0,"VT",NA
2020-05-16,"30-39",1,0,"VT",NA
2020-05-16,"40-49",2,0,"VT",NA
2020-05-16,"50-59",1,0,"VT",NA
2020-05-16,"60-69",10,0,"VT",NA
2020-05-16,"70-79",17,0,"VT",NA
2020-05-16,"80+",22,0,"VT",NA
2020-05-17,"0-9",0,0,"VT",NA
2020-05-17,"10-19",0,0,"VT",NA
2020-05-17,"20-29",0,0,"VT",NA
2020-05-17,"30-39",1,0,"VT",NA
2020-05-17,"40-49",2,0,"VT",NA
2020-05-17,"50-59",1,0,"VT",NA
2020-05-17,"60-69",10,0,"VT",NA
2020-05-17,"70-79",17,0,"VT",NA
2020-05-17,"80+",23,1,"VT",NA
2020-05-18,"0-9",0,0,"VT",NA
2020-05-18,"10-19",0,0,"VT",NA
2020-05-18,"20-29",0,0,"VT",NA
2020-05-18,"30-39",1,0,"VT",NA
2020-05-18,"40-49",2,0,"VT",NA
2020-05-18,"50-59",1,0,"VT",NA
2020-05-18,"60-69",10,0,"VT",NA
2020-05-18,"70-79",17,0,"VT",NA
2020-05-18,"80+",23,0,"VT",NA
2020-05-19,"0-9",0,0,"VT",NA
2020-05-19,"10-19",0,0,"VT",NA
2020-05-19,"20-29",0,0,"VT",NA
2020-05-19,"30-39",1,0,"VT",NA
2020-05-19,"40-49",2,0,"VT",NA
2020-05-19,"50-59",1,0,"VT",NA
2020-05-19,"60-69",10,0,"VT",NA
2020-05-19,"70-79",17,0,"VT",NA
2020-05-19,"80+",23,0,"VT",NA
2020-05-20,"0-9",0,0,"VT",NA
2020-05-20,"10-19",0,0,"VT",NA
2020-05-20,"20-29",0,0,"VT",NA
2020-05-20,"30-39",1,0,"VT",NA
2020-05-20,"40-49",2,0,"VT",NA
2020-05-20,"50-59",1,0,"VT",NA
2020-05-20,"60-69",10,0,"VT",NA
2020-05-20,"70-79",17,0,"VT",NA
2020-05-20,"80+",23,0,"VT",NA
2020-05-21,"0-9",0,0,"VT",NA
2020-05-21,"10-19",0,0,"VT",NA
2020-05-21,"20-29",0,0,"VT",NA
2020-05-21,"30-39",1,0,"VT",NA
2020-05-21,"40-49",2,0,"VT",NA
2020-05-21,"50-59",1,0,"VT",NA
2020-05-21,"60-69",10,0,"VT",NA
2020-05-21,"70-79",17,0,"VT",NA
2020-05-21,"80+",23,0,"VT",NA
2020-05-22,"0-9",0,0,"VT",NA
2020-05-22,"10-19",0,0,"VT",NA
2020-05-22,"20-29",0,0,"VT",NA
2020-05-22,"30-39",1,0,"VT",NA
2020-05-22,"40-49",2,0,"VT",NA
2020-05-22,"50-59",1,0,"VT",NA
2020-05-22,"60-69",10,0,"VT",NA
2020-05-22,"70-79",17,0,"VT",NA
2020-05-22,"80+",23,0,"VT",NA
2020-05-23,"0-9",0,0,"VT",NA
2020-05-23,"10-19",0,0,"VT",NA
2020-05-23,"20-29",0,0,"VT",NA
2020-05-23,"30-39",1,0,"VT",NA
2020-05-23,"40-49",2,0,"VT",NA
2020-05-23,"50-59",1,0,"VT",NA
2020-05-23,"60-69",10,0,"VT",NA
2020-05-23,"70-79",17,0,"VT",NA
2020-05-23,"80+",23,0,"VT",NA
2020-05-24,"0-9",0,0,"VT",NA
2020-05-24,"10-19",0,0,"VT",NA
2020-05-24,"20-29",0,0,"VT",NA
2020-05-24,"30-39",1,0,"VT",NA
2020-05-24,"40-49",2,0,"VT",NA
2020-05-24,"50-59",1,0,"VT",NA
2020-05-24,"60-69",10,0,"VT",NA
2020-05-24,"70-79",17,0,"VT",NA
2020-05-24,"80+",23,0,"VT",NA
2020-05-25,"0-9",0,0,"VT",NA
2020-05-25,"10-19",0,0,"VT",NA
2020-05-25,"20-29",0,0,"VT",NA
2020-05-25,"30-39",1,0,"VT",NA
2020-05-25,"40-49",2,0,"VT",NA
2020-05-25,"50-59",1,0,"VT",NA
2020-05-25,"60-69",10,0,"VT",NA
2020-05-25,"70-79",17,0,"VT",NA
2020-05-25,"80+",23,0,"VT",NA
2020-05-26,"0-9",0,0,"VT",NA
2020-05-26,"10-19",0,0,"VT",NA
2020-05-26,"20-29",0,0,"VT",NA
2020-05-26,"30-39",1,0,"VT",NA
2020-05-26,"40-49",2,0,"VT",NA
2020-05-26,"50-59",1,0,"VT",NA
2020-05-26,"60-69",10,0,"VT",NA
2020-05-26,"70-79",17,0,"VT",NA
2020-05-26,"80+",23,0,"VT",NA
2020-05-13,"0-4",0,NA,"OK",NA
2020-05-13,"5-19",0,NA,"OK",NA
2020-05-13,"20-34",4,NA,"OK",NA
2020-05-13,"35-49",6,NA,"OK",NA
2020-05-13,"50-64",48,NA,"OK",NA
2020-05-13,"65+",220,NA,"OK",NA
2020-05-14,"0-4",0,0,"OK",NA
2020-05-14,"5-19",0,0,"OK",NA
2020-05-14,"20-34",4,0,"OK",NA
2020-05-14,"35-49",6,0,"OK",NA
2020-05-14,"50-64",49,1,"OK",NA
2020-05-14,"65+",225,5,"OK",NA
2020-05-15,"0-4",0,0,"OK",NA
2020-05-15,"5-19",0,0,"OK",NA
2020-05-15,"20-34",4,0,"OK",NA
2020-05-15,"35-49",6,0,"OK",NA
2020-05-15,"50-64",49,0,"OK",NA
2020-05-15,"65+",226,1,"OK",NA
2020-05-16,"0-4",0,0,"OK",NA
2020-05-16,"5-19",0,0,"OK",NA
2020-05-16,"20-34",4,0,"OK",NA
2020-05-16,"35-49",6,0,"OK",NA
2020-05-16,"50-64",50,1,"OK",NA
2020-05-16,"65+",228,2,"OK",NA
2020-05-17,"0-4",0,0,"OK",NA
2020-05-17,"5-19",0,0,"OK",NA
2020-05-17,"20-34",4,0,"OK",NA
2020-05-17,"35-49",6,0,"OK",NA
2020-05-17,"50-64",50,0,"OK",NA
2020-05-17,"65+",228,0,"OK",NA
2020-05-18,"0-4",0,0,"OK",NA
2020-05-18,"5-19",0,0,"OK",NA
2020-05-18,"20-34",4,0,"OK",NA
2020-05-18,"35-49",6,0,"OK",NA
2020-05-18,"50-64",50,0,"OK",NA
2020-05-18,"65+",228,0,"OK",NA
2020-05-19,"0-4",0,0,"OK",NA
2020-05-19,"5-19",0,0,"OK",NA
2020-05-19,"20-34",4,0,"OK",NA
2020-05-19,"35-49",6,0,"OK",NA
2020-05-19,"50-64",50,0,"OK",NA
2020-05-19,"65+",234,6,"OK",NA
2020-05-20,"0-4",0,0,"OK",NA
2020-05-20,"5-19",0,0,"OK",NA
2020-05-20,"20-34",4,0,"OK",NA
2020-05-20,"35-49",6,0,"OK",NA
2020-05-20,"50-64",50,0,"OK",NA
2020-05-20,"65+",239,5,"OK",NA
2020-05-21,"0-4",0,0,"OK",NA
2020-05-21,"5-19",0,0,"OK",NA
2020-05-21,"20-34",4,0,"OK",NA
2020-05-21,"35-49",6,0,"OK",NA
2020-05-21,"50-64",51,1,"OK",NA
2020-05-21,"65+",243,4,"OK",NA
2020-05-22,"0-4",0,0,"OK",NA
2020-05-22,"5-19",0,0,"OK",NA
2020-05-22,"20-34",4,0,"OK",NA
2020-05-22,"35-49",6,0,"OK",NA
2020-05-22,"50-64",52,1,"OK",NA
2020-05-22,"65+",245,2,"OK",NA
2020-05-23,"0-4",0,0,"OK",NA
2020-05-23,"5-19",0,0,"OK",NA
2020-05-23,"20-34",4,0,"OK",NA
2020-05-23,"35-49",6,0,"OK",NA
2020-05-23,"50-64",53,1,"OK",NA
2020-05-23,"65+",248,3,"OK",NA
2020-05-24,"0-4",0,0,"OK",NA
2020-05-24,"5-19",0,0,"OK",NA
2020-05-24,"20-34",4,0,"OK",NA
2020-05-24,"35-49",6,0,"OK",NA
2020-05-24,"50-64",53,0,"OK",NA
2020-05-24,"65+",248,0,"OK",NA
2020-05-25,"0-4",0,0,"OK",NA
2020-05-25,"5-19",0,0,"OK",NA
2020-05-25,"20-34",4,0,"OK",NA
2020-05-25,"35-49",7,1,"OK",NA
2020-05-25,"50-64",53,0,"OK",NA
2020-05-25,"65+",249,1,"OK",NA
2020-05-26,"0-4",0,0,"OK",NA
2020-05-26,"5-19",0,0,"OK",NA
2020-05-26,"20-34",4,0,"OK",NA
2020-05-26,"35-49",7,0,"OK",NA
2020-05-26,"50-64",54,1,"OK",NA
2020-05-26,"65+",253,4,"OK",NA
2020-05-14," 0-9",0,NA,"ND",NA
2020-05-14," 10-19",0,NA,"ND",NA
2020-05-14," 20-29",0,NA,"ND",NA
2020-05-14," 30-39",0,NA,"ND",NA
2020-05-14," 40-49",2,NA,"ND",NA
2020-05-14," 50-59",2,NA,"ND",NA
2020-05-14," 60-69",1,NA,"ND",NA
2020-05-14," 70-79",9,NA,"ND",NA
2020-05-14," 80+",26,NA,"ND",NA
2020-05-15," 0-9",0,0,"ND",NA
2020-05-15," 10-19",0,0,"ND",NA
2020-05-15," 20-29",0,0,"ND",NA
2020-05-15," 30-39",0,0,"ND",NA
2020-05-15," 40-49",3,1,"ND",NA
2020-05-15," 50-59",2,0,"ND",NA
2020-05-15," 60-69",1,0,"ND",NA
2020-05-15," 70-79",9,0,"ND",NA
2020-05-15," 80+",27,1,"ND",NA
2020-05-16," 0-9",0,0,"ND",NA
2020-05-16," 10-19",0,0,"ND",NA
2020-05-16," 20-29",0,0,"ND",NA
2020-05-16," 30-39",0,0,"ND",NA
2020-05-16," 40-49",3,0,"ND",NA
2020-05-16," 50-59",2,0,"ND",NA
2020-05-16," 60-69",1,0,"ND",NA
2020-05-16," 70-79",9,0,"ND",NA
2020-05-16," 80+",27,0,"ND",NA
2020-05-17," 0-9",0,0,"ND",NA
2020-05-17," 10-19",0,0,"ND",NA
2020-05-17," 20-29",0,0,"ND",NA
2020-05-17," 30-39",0,0,"ND",NA
2020-05-17," 40-49",3,0,"ND",NA
2020-05-17," 50-59",2,0,"ND",NA
2020-05-17," 60-69",1,0,"ND",NA
2020-05-17," 70-79",9,0,"ND",NA
2020-05-17," 80+",28,1,"ND",NA
2020-05-18," 0-9",0,0,"ND",NA
2020-05-18," 10-19",0,0,"ND",NA
2020-05-18," 20-29",0,0,"ND",NA
2020-05-18," 30-39",0,0,"ND",NA
2020-05-18," 40-49",3,0,"ND",NA
2020-05-18," 50-59",2,0,"ND",NA
2020-05-18," 60-69",1,0,"ND",NA
2020-05-18," 70-79",9,0,"ND",NA
2020-05-18," 80+",29,1,"ND",NA
2020-05-19," 0-9",0,0,"ND",NA
2020-05-19," 10-19",0,0,"ND",NA
2020-05-19," 20-29",0,0,"ND",NA
2020-05-19," 30-39",0,0,"ND",NA
2020-05-19," 40-49",3,0,"ND",NA
2020-05-19," 50-59",2,0,"ND",NA
2020-05-19," 60-69",1,0,"ND",NA
2020-05-19," 70-79",10,1,"ND",NA
2020-05-19," 80+",29,0,"ND",NA
2020-05-20," 0-9",0,0,"ND",NA
2020-05-20," 10-19",0,0,"ND",NA
2020-05-20," 20-29",0,0,"ND",NA
2020-05-20," 30-39",0,0,"ND",NA
2020-05-20," 40-49",3,0,"ND",NA
2020-05-20," 50-59",2,0,"ND",NA
2020-05-20," 60-69",3,2,"ND",NA
2020-05-20," 70-79",10,0,"ND",NA
2020-05-20," 80+",31,2,"ND",NA
2020-05-21," 0-9",0,0,"ND",NA
2020-05-21," 10-19",0,0,"ND",NA
2020-05-21," 20-29",0,0,"ND",NA
2020-05-21," 30-39",0,0,"ND",NA
2020-05-21," 40-49",3,0,"ND",NA
2020-05-21," 50-59",2,0,"ND",NA
2020-05-21," 60-69",3,0,"ND",NA
2020-05-21," 70-79",11,1,"ND",NA
2020-05-21," 80+",32,1,"ND",NA
2020-05-22," 0-9",0,0,"ND",NA
2020-05-22," 10-19",0,0,"ND",NA
2020-05-22," 20-29",0,0,"ND",NA
2020-05-22," 30-39",0,0,"ND",NA
2020-05-22," 40-49",3,0,"ND",NA
2020-05-22," 50-59",2,0,"ND",NA
2020-05-22," 60-69",3,0,"ND",NA
2020-05-22," 70-79",11,0,"ND",NA
2020-05-22," 80+",33,1,"ND",NA
2020-05-23," 0-9",0,0,"ND",NA
2020-05-23," 10-19",0,0,"ND",NA
2020-05-23," 20-29",0,0,"ND",NA
2020-05-23," 30-39",0,0,"ND",NA
2020-05-23," 40-49",3,0,"ND",NA
2020-05-23," 50-59",2,0,"ND",NA
2020-05-23," 60-69",3,0,"ND",NA
2020-05-23," 70-79",11,0,"ND",NA
2020-05-23," 80+",33,0,"ND",NA
2020-05-24," 0-9",0,0,"ND",NA
2020-05-24," 10-19",0,0,"ND",NA
2020-05-24," 20-29",0,0,"ND",NA
2020-05-24," 30-39",0,0,"ND",NA
2020-05-24," 40-49",3,0,"ND",NA
2020-05-24," 50-59",2,0,"ND",NA
2020-05-24," 60-69",3,0,"ND",NA
2020-05-24," 70-79",11,0,"ND",NA
2020-05-24," 80+",34,1,"ND",NA
2020-05-25," 0-9",0,0,"ND",NA
2020-05-25," 10-19",0,0,"ND",NA
2020-05-25," 20-29",0,0,"ND",NA
2020-05-25," 30-39",0,0,"ND",NA
2020-05-25," 40-49",3,0,"ND",NA
2020-05-25," 50-59",2,0,"ND",NA
2020-05-25," 60-69",3,0,"ND",NA
2020-05-25," 70-79",11,0,"ND",NA
2020-05-25," 80+",35,1,"ND",NA
2020-05-26," 0-9",0,0,"ND",NA
2020-05-26," 10-19",0,0,"ND",NA
2020-05-26," 20-29",0,0,"ND",NA
2020-05-26," 30-39",0,0,"ND",NA
2020-05-26," 40-49",3,0,"ND",NA
2020-05-26," 50-59",2,0,"ND",NA
2020-05-26," 60-69",3,0,"ND",NA
2020-05-26," 70-79",11,0,"ND",NA
2020-05-26," 80+",35,0,"ND",NA
2020-05-13,"0-19",0,NA,"NC",NA
2020-05-13,"18-24",0,NA,"NC",NA
2020-05-13,"25-49",18,NA,"NC",NA
2020-05-13,"50-64",74,NA,"NC",NA
2020-05-13,"65+",523,NA,"NC",NA
2020-05-14,"0-19",0,0,"NC",NA
2020-05-14,"18-24",0,0,"NC",NA
2020-05-14,"25-49",18,0,"NC",NA
2020-05-14,"50-64",74,0,"NC",NA
2020-05-14,"65+",523,0,"NC",NA
2020-05-15,"0-19",0,0,"NC",NA
2020-05-15,"18-24",0,0,"NC",NA
2020-05-15,"25-49",19,1,"NC",NA
2020-05-15,"50-64",77,3,"NC",NA
2020-05-15,"65+",545,22,"NC",NA
2020-05-16,"0-19",0,0,"NC",NA
2020-05-16,"18-24",0,0,"NC",NA
2020-05-16,"25-49",20,1,"NC",NA
2020-05-16,"50-64",78,1,"NC",NA
2020-05-16,"65+",554,9,"NC",NA
2020-05-17,"0-19",0,0,"NC",NA
2020-05-17,"18-24",0,0,"NC",NA
2020-05-17,"25-49",20,0,"NC",NA
2020-05-17,"50-64",79,1,"NC",NA
2020-05-17,"65+",560,6,"NC",NA
2020-05-18,"0-19",0,0,"NC",NA
2020-05-18,"18-24",0,0,"NC",NA
2020-05-18,"25-49",20,0,"NC",NA
2020-05-18,"50-64",79,0,"NC",NA
2020-05-18,"65+",562,2,"NC",NA
2020-05-19,"0-19",0,0,"NC",NA
2020-05-19,"18-24",0,0,"NC",NA
2020-05-19,"25-49",21,1,"NC",NA
2020-05-19,"50-64",83,4,"NC",NA
2020-05-19,"65+",587,25,"NC",NA
2020-05-20,"0-19",0,0,"NC",NA
2020-05-20,"18-24",0,0,"NC",NA
2020-05-20,"25-49",21,0,"NC",NA
2020-05-20,"50-64",84,0,"NC",NA
2020-05-20,"65+",596,9,"NC",NA
2020-05-21,"0-19",0,0,"NC",NA
2020-05-21,"18-24",1,0,"NC",NA
2020-05-21,"25-49",28,7,"NC",NA
2020-05-21,"50-64",83,0,"NC",NA
2020-05-21,"65+",604,8,"NC",NA
2020-05-22,"0-19",0,0,"NC",NA
2020-05-22,"18-24",0,0,"NC",NA
2020-05-22,"25-49",29,1,"NC",NA
2020-05-22,"50-64",87,4,"NC",NA
2020-05-22,"65+",612,8,"NC",NA
2020-05-23,"0-19",0,0,"NC",NA
2020-05-23,"18-24",0,0,"NC",NA
2020-05-23,"25-49",29,0,"NC",NA
2020-05-23,"50-64",88,1,"NC",NA
2020-05-23,"65+",627,13,"NC",NA
2020-05-24,"0-19",0,0,"NC",NA
2020-05-24,"18-24",0,0,"NC",NA
2020-05-24,"25-49",30,1,"NC",NA
2020-05-24,"50-64",89,1,"NC",NA
2020-05-24,"65+",625,0,"NC",NA
2020-05-25,"0-19",0,0,"NC",NA
2020-05-25,"18-24",0,0,"NC",NA
2020-05-25,"25-49",30,0,"NC",NA
2020-05-25,"50-64",90,1,"NC",NA
2020-05-25,"65+",633,8,"NC",NA
2020-05-26,"0-19",0,0,"NC",NA
2020-05-26,"18-24",0,0,"NC",NA
2020-05-26,"25-49",31,1,"NC",NA
2020-05-26,"50-64",92,2,"NC",NA
2020-05-26,"65+",644,11,"NC",NA
2020-05-13,"20-29",1,NA,"MO",NA
2020-05-13,"30-39",3,NA,"MO",NA
2020-05-13,"40-49",11,NA,"MO",NA
2020-05-13,"50-59",42,NA,"MO",NA
2020-05-13,"60-69",93,NA,"MO",NA
2020-05-13,"70-79",138,NA,"MO",NA
2020-05-13,"80+",254,NA,"MO",NA
2020-05-13,"0-19",0,NA,"MO",NA
2020-05-14,"20-29",1,0,"MO",NA
2020-05-14,"30-39",3,0,"MO",NA
2020-05-14,"40-49",11,0,"MO",NA
2020-05-14,"50-59",42,0,"MO",NA
2020-05-14,"60-69",101,8,"MO",NA
2020-05-14,"70-79",141,3,"MO",NA
2020-05-14,"80+",263,9,"MO",NA
2020-05-14,"0-19",0,0,"MO",NA
2020-05-15,"20-29",1,0,"MO",NA
2020-05-15,"30-39",3,0,"MO",NA
2020-05-15,"40-49",12,1,"MO",NA
2020-05-15,"50-59",43,1,"MO",NA
2020-05-15,"60-69",104,3,"MO",NA
2020-05-15,"70-79",145,4,"MO",NA
2020-05-15,"80+",269,6,"MO",NA
2020-05-15,"0-19",0,0,"MO",NA
2020-05-16,"20-29",1,0,"MO",NA
2020-05-16,"30-39",3,0,"MO",NA
2020-05-16,"40-49",12,0,"MO",NA
2020-05-16,"50-59",43,0,"MO",NA
2020-05-16,"60-69",106,2,"MO",NA
2020-05-16,"70-79",149,4,"MO",NA
2020-05-16,"80+",275,6,"MO",NA
2020-05-16,"0-19",0,0,"MO",NA
2020-05-17,"20-29",1,0,"MO",NA
2020-05-17,"30-39",3,0,"MO",NA
2020-05-17,"40-49",12,0,"MO",NA
2020-05-17,"50-59",43,0,"MO",NA
2020-05-17,"60-69",107,1,"MO",NA
2020-05-17,"70-79",150,1,"MO",NA
2020-05-17,"80+",278,3,"MO",NA
