"age","date","code","cum.deaths","daily.deaths"
"80+",2020-04-13,"CT",332,23
"0-9",2020-04-14,"CT",1,0
"10-19",2020-04-14,"CT",0,0
"20-29",2020-04-14,"CT",1,0
"30-39",2020-04-14,"CT",8,0
"40-49",2020-04-14,"CT",14,1
"50-59",2020-04-14,"CT",32,2
"60-69",2020-04-14,"CT",96,13
"70-79",2020-04-14,"CT",150,16
"80+",2020-04-14,"CT",369,37
"0-9",2020-04-15,"CT",1,0
"10-19",2020-04-15,"CT",1,1
"20-29",2020-04-15,"CT",1,0
"30-39",2020-04-15,"CT",9,1
"40-49",2020-04-15,"CT",19,5
"50-59",2020-04-15,"CT",35,3
"60-69",2020-04-15,"CT",118,22
"70-79",2020-04-15,"CT",192,42
"80+",2020-04-15,"CT",491,122
"0-9",2020-04-16,"CT",1,0
"10-19",2020-04-16,"CT",1,0
"20-29",2020-04-16,"CT",2,1
"30-39",2020-04-16,"CT",10,1
"40-49",2020-04-16,"CT",20,1
"50-59",2020-04-16,"CT",40,5
"60-69",2020-04-16,"CT",138,20
"70-79",2020-04-16,"CT",218,26
"80+",2020-04-16,"CT",539,48
"0-9",2020-04-17,"CT",1,0
"10-19",2020-04-17,"CT",1,0
"20-29",2020-04-17,"CT",3,1
"30-39",2020-04-17,"CT",11,1
"40-49",2020-04-17,"CT",21,1
"50-59",2020-04-17,"CT",44,4
"60-69",2020-04-17,"CT",143,5
"70-79",2020-04-17,"CT",231,13
"80+",2020-04-17,"CT",579,40
"0-9",2020-04-18,"CT",1,0
"10-19",2020-04-18,"CT",1,0
"20-29",2020-04-18,"CT",3,0
"30-39",2020-04-18,"CT",11,0
"40-49",2020-04-18,"CT",22,1
"50-59",2020-04-18,"CT",44,0
"60-69",2020-04-18,"CT",151,8
"70-79",2020-04-18,"CT",245,14
"80+",2020-04-18,"CT",605,26
"0-9",2020-04-19,"CT",1,0
"10-19",2020-04-19,"CT",1,0
"20-29",2020-04-19,"CT",3,0
"30-39",2020-04-19,"CT",11,0
"40-49",2020-04-19,"CT",22,0
"50-59",2020-04-19,"CT",45,1
"60-69",2020-04-19,"CT",158,7
"70-79",2020-04-19,"CT",253,8
"80+",2020-04-19,"CT",630,25
"0-9",2020-04-20,"CT",1,0
"10-19",2020-04-20,"CT",1,0
"20-29",2020-04-20,"CT",3,0
"30-39",2020-04-20,"CT",12,1
"40-49",2020-04-20,"CT",28,6
"50-59",2020-04-20,"CT",58,13
"60-69",2020-04-20,"CT",192,34
"70-79",2020-04-20,"CT",300,47
"80+",2020-04-20,"CT",733,103
"0-9",2020-04-21,"CT",1,0
"10-19",2020-04-21,"CT",1,0
"20-29",2020-04-21,"CT",3,0
"30-39",2020-04-21,"CT",14,2
"40-49",2020-04-21,"CT",28,0
"50-59",2020-04-21,"CT",63,5
"60-69",2020-04-21,"CT",204,12
"70-79",2020-04-21,"CT",319,19
"80+",2020-04-21,"CT",787,54
"0-9",2020-04-22,"CT",1,0
"10-19",2020-04-22,"CT",1,0
"20-29",2020-04-22,"CT",3,0
"30-39",2020-04-22,"CT",14,0
"40-49",2020-04-22,"CT",30,2
"50-59",2020-04-22,"CT",69,6
"60-69",2020-04-22,"CT",222,18
"70-79",2020-04-22,"CT",344,25
"80+",2020-04-22,"CT",858,71
"0-9",2020-04-23,"CT",1,0
"10-19",2020-04-23,"CT",1,0
"20-29",2020-04-23,"CT",3,0
"30-39",2020-04-23,"CT",15,1
"40-49",2020-04-23,"CT",30,0
"50-59",2020-04-23,"CT",75,6
"60-69",2020-04-23,"CT",228,6
"70-79",2020-04-23,"CT",366,22
"80+",2020-04-23,"CT",915,57
"0-9",2020-04-24,"CT",1,0
"10-19",2020-04-24,"CT",1,0
"20-29",2020-04-24,"CT",3,0
"30-39",2020-04-24,"CT",16,1
"40-49",2020-04-24,"CT",31,1
"50-59",2020-04-24,"CT",78,3
"60-69",2020-04-24,"CT",240,12
"70-79",2020-04-24,"CT",398,32
"80+",2020-04-24,"CT",992,77
"0-9",2020-04-25,"CT",1,0
"10-19",2020-04-25,"CT",1,0
"20-29",2020-04-25,"CT",3,0
"30-39",2020-04-25,"CT",16,0
"40-49",2020-04-25,"CT",31,0
"50-59",2020-04-25,"CT",84,6
"60-69",2020-04-25,"CT",250,10
"70-79",2020-04-25,"CT",423,25
"80+",2020-04-25,"CT",1049,57
"0-9",2020-04-26,"CT",1,0
"10-19",2020-04-26,"CT",1,0
"20-29",2020-04-26,"CT",3,0
"30-39",2020-04-26,"CT",16,0
"40-49",2020-04-26,"CT",31,0
"50-59",2020-04-26,"CT",88,4
"60-69",2020-04-26,"CT",258,8
"70-79",2020-04-26,"CT",434,11
"80+",2020-04-26,"CT",1091,42
"0-9",2020-04-27,"CT",1,0
"10-19",2020-04-27,"CT",1,0
"20-29",2020-04-27,"CT",3,0
"30-39",2020-04-27,"CT",16,0
"40-49",2020-04-27,"CT",31,0
"50-59",2020-04-27,"CT",92,4
"60-69",2020-04-27,"CT",270,12
"70-79",2020-04-27,"CT",455,21
"80+",2020-04-27,"CT",1141,50
"0-9",2020-04-28,"CT",1,0
"10-19",2020-04-28,"CT",1,0
"20-29",2020-04-28,"CT",3,0
"30-39",2020-04-28,"CT",16,0
"40-49",2020-04-28,"CT",31,0
"50-59",2020-04-28,"CT",96,4
"60-69",2020-04-28,"CT",274,4
"70-79",2020-04-28,"CT",468,13
"80+",2020-04-28,"CT",1195,54
"0-9",2020-04-29,"CT",1,0
"10-19",2020-04-29,"CT",1,0
"20-29",2020-04-29,"CT",3,0
"30-39",2020-04-29,"CT",16,0
"40-49",2020-04-29,"CT",31,0
"50-59",2020-04-29,"CT",98,2
"60-69",2020-04-29,"CT",279,5
"70-79",2020-04-29,"CT",486,18
"80+",2020-04-29,"CT",1249,54
"0-9",2020-04-30,"CT",1,0
"10-19",2020-04-30,"CT",1,0
"20-29",2020-04-30,"CT",3,0
"30-39",2020-04-30,"CT",18,2
"40-49",2020-04-30,"CT",31,0
"50-59",2020-04-30,"CT",101,3
"60-69",2020-04-30,"CT",290,11
"70-79",2020-04-30,"CT",507,21
"80+",2020-04-30,"CT",1301,52
"0-9",2020-05-01,"CT",1,0
"10-19",2020-05-01,"CT",1,0
"20-29",2020-05-01,"CT",3,0
"30-39",2020-05-01,"CT",18,0
"40-49",2020-05-01,"CT",32,1
"50-59",2020-05-01,"CT",102,1
"60-69",2020-05-01,"CT",300,10
"70-79",2020-05-01,"CT",521,14
"80+",2020-05-01,"CT",1357,56
"0-9",2020-05-02,"CT",1,0
"10-19",2020-05-02,"CT",1,0
"20-29",2020-05-02,"CT",4,1
"30-39",2020-05-02,"CT",18,0
"40-49",2020-05-02,"CT",33,1
"50-59",2020-05-02,"CT",104,2
"60-69",2020-05-02,"CT",309,9
"70-79",2020-05-02,"CT",535,14
"80+",2020-05-02,"CT",1426,69
"0-9",2020-05-03,"CT",1,0
"10-19",2020-05-03,"CT",1,0
"20-29",2020-05-03,"CT",4,0
"30-39",2020-05-03,"CT",18,0
"40-49",2020-05-03,"CT",37,4
"50-59",2020-05-03,"CT",111,7
"60-69",2020-05-03,"CT",324,15
"70-79",2020-05-03,"CT",558,23
"80+",2020-05-03,"CT",1499,73
"0-9",2020-05-04,"CT",1,0
"10-19",2020-05-04,"CT",1,0
"20-29",2020-05-04,"CT",4,0
"30-39",2020-05-04,"CT",18,0
"40-49",2020-05-04,"CT",38,1
"50-59",2020-05-04,"CT",116,5
"60-69",2020-05-04,"CT",328,4
"70-79",2020-05-04,"CT",581,23
"80+",2020-05-04,"CT",1543,44
"0-9",2020-05-05,"CT",1,0
"10-19",2020-05-05,"CT",1,0
"20-29",2020-05-05,"CT",4,0
"30-39",2020-05-05,"CT",18,0
"40-49",2020-05-05,"CT",38,0
"50-59",2020-05-05,"CT",120,4
"60-69",2020-05-05,"CT",340,12
"70-79",2020-05-05,"CT",596,15
"80+",2020-05-05,"CT",1596,53
"0-9",2020-05-06,"CT",1,0
"10-19",2020-05-06,"CT",1,0
"20-29",2020-05-06,"CT",4,0
"30-39",2020-05-06,"CT",18,0
"40-49",2020-05-06,"CT",39,1
"50-59",2020-05-06,"CT",120,0
"60-69",2020-05-06,"CT",343,3
"70-79",2020-05-06,"CT",615,19
"80+",2020-05-06,"CT",1650,54
"0-9",2020-05-07,"CT",1,0
"10-19",2020-05-07,"CT",1,0
"20-29",2020-05-07,"CT",4,0
"30-39",2020-05-07,"CT",18,0
"40-49",2020-05-07,"CT",39,0
"50-59",2020-05-07,"CT",120,0
"60-69",2020-05-07,"CT",356,13
"70-79",2020-05-07,"CT",630,15
"80+",2020-05-07,"CT",1699,49
"0-9",2020-05-08,"CT",1,0
"10-19",2020-05-08,"CT",1,0
"20-29",2020-05-08,"CT",4,0
"30-39",2020-05-08,"CT",18,0
"40-49",2020-05-08,"CT",39,0
"50-59",2020-05-08,"CT",120,0
"60-69",2020-05-08,"CT",363,7
"70-79",2020-05-08,"CT",641,11
"80+",2020-05-08,"CT",1739,40
"0-9",2020-05-09,"CT",1,0
"10-19",2020-05-09,"CT",1,0
"20-29",2020-05-09,"CT",4,0
"30-39",2020-05-09,"CT",18,0
"40-49",2020-05-09,"CT",40,1
"50-59",2020-05-09,"CT",120,0
"60-69",2020-05-09,"CT",363,0
"70-79",2020-05-09,"CT",656,15
"80+",2020-05-09,"CT",1758,19
"0-9",2020-05-10,"CT",1,0
"10-19",2020-05-10,"CT",1,0
"20-29",2020-05-10,"CT",4,0
"30-39",2020-05-10,"CT",18,0
"40-49",2020-05-10,"CT",40,0
"50-59",2020-05-10,"CT",123,3
"60-69",2020-05-10,"CT",373,10
"70-79",2020-05-10,"CT",665,9
"80+",2020-05-10,"CT",1777,19
"0-9",2020-05-11,"CT",1,0
"10-19",2020-05-11,"CT",1,0
"20-29",2020-05-11,"CT",4,0
"30-39",2020-05-11,"CT",18,0
"40-49",2020-05-11,"CT",41,1
"50-59",2020-05-11,"CT",125,2
"60-69",2020-05-11,"CT",380,7
"70-79",2020-05-11,"CT",668,3
"80+",2020-05-11,"CT",1798,21
"0-9",2020-05-12,"CT",1,0
"10-19",2020-05-12,"CT",1,0
"20-29",2020-05-12,"CT",4,0
"30-39",2020-05-12,"CT",18,0
"40-49",2020-05-12,"CT",43,2
"50-59",2020-05-12,"CT",127,2
"60-69",2020-05-12,"CT",390,10
"70-79",2020-05-12,"CT",680,12
"80+",2020-05-12,"CT",1856,58
"0-9",2020-05-13,"CT",1,0
"10-19",2020-05-13,"CT",1,0
"20-29",2020-05-13,"CT",4,0
"30-39",2020-05-13,"CT",18,0
"40-49",2020-05-13,"CT",45,2
"50-59",2020-05-13,"CT",130,3
"60-69",2020-05-13,"CT",403,13
"70-79",2020-05-13,"CT",695,15
"80+",2020-05-13,"CT",1918,62
"0-9",2020-05-14,"CT",1,0
"10-19",2020-05-14,"CT",1,0
"20-29",2020-05-14,"CT",4,0
"30-39",2020-05-14,"CT",18,0
"40-49",2020-05-14,"CT",45,0
"50-59",2020-05-14,"CT",133,3
"60-69",2020-05-14,"CT",410,7
"70-79",2020-05-14,"CT",710,15
"80+",2020-05-14,"CT",1958,40
"0-9",2020-05-15,"CT",1,0
"10-19",2020-05-15,"CT",1,0
"20-29",2020-05-15,"CT",4,0
"30-39",2020-05-15,"CT",18,0
"40-49",2020-05-15,"CT",46,1
"50-59",2020-05-15,"CT",136,3
"60-69",2020-05-15,"CT",418,8
"70-79",2020-05-15,"CT",720,10
"80+",2020-05-15,"CT",1991,33
"0-9",2020-05-16,"CT",1,0
"10-19",2020-05-16,"CT",1,0
"20-29",2020-05-16,"CT",4,0
"30-39",2020-05-16,"CT",18,0
"40-49",2020-05-16,"CT",48,2
"50-59",2020-05-16,"CT",140,4
"60-69",2020-05-16,"CT",426,8
"70-79",2020-05-16,"CT",733,13
"80+",2020-05-16,"CT",2032,41
"0-9",2020-05-17,"CT",1,0
"10-19",2020-05-17,"CT",1,0
"20-29",2020-05-17,"CT",4,0
"30-39",2020-05-17,"CT",18,0
"40-49",2020-05-17,"CT",50,2
"50-59",2020-05-17,"CT",140,0
"60-69",2020-05-17,"CT",433,7
"70-79",2020-05-17,"CT",745,12
"80+",2020-05-17,"CT",2048,16
"40-49",2020-05-18,"CT",50,0
"50-59",2020-05-18,"CT",143,3
"60-69",2020-05-18,"CT",433,0
"70-79",2020-05-18,"CT",749,4
"80+",2020-05-18,"CT",2068,20
"0-9",2020-05-18,"CT",1,0
"10-19",2020-05-18,"CT",1,0
"20-29",2020-05-18,"CT",4,0
"30-39",2020-05-18,"CT",18,0
"0-9",2020-05-19,"CT",1,0
"10-19",2020-05-19,"CT",1,0
"20-29",2020-05-19,"CT",4,0
"30-39",2020-05-19,"CT",18,0
"40-49",2020-05-19,"CT",50,0
"50-59",2020-05-19,"CT",148,5
"60-69",2020-05-19,"CT",436,3
"70-79",2020-05-19,"CT",765,16
"80+",2020-05-19,"CT",2101,33
"0-9",2020-05-20,"CT",1,0
"10-19",2020-05-20,"CT",1,0
"20-29",2020-05-20,"CT",4,0
"30-39",2020-05-20,"CT",18,0
"40-49",2020-05-20,"CT",50,0
"50-59",2020-05-20,"CT",150,2
"60-69",2020-05-20,"CT",443,7
"70-79",2020-05-20,"CT",774,9
"80+",2020-05-20,"CT",2138,37
"0-9",2020-05-21,"CT",1,0
"10-19",2020-05-21,"CT",1,0
"20-29",2020-05-21,"CT",4,0
"30-39",2020-05-21,"CT",18,0
"40-49",2020-05-21,"CT",51,1
"50-59",2020-05-21,"CT",153,3
"60-69",2020-05-21,"CT",457,14
"70-79",2020-05-21,"CT",787,13
"80+",2020-05-21,"CT",2162,24
"0-9",2020-05-22,"CT",1,0
"10-19",2020-05-22,"CT",1,0
"20-29",2020-05-22,"CT",4,0
"30-39",2020-05-22,"CT",18,0
"40-49",2020-05-22,"CT",51,0
"50-59",2020-05-22,"CT",153,0
"60-69",2020-05-22,"CT",461,4
"70-79",2020-05-22,"CT",796,9
"80+",2020-05-22,"CT",2185,23
"0-9",2020-05-23,"CT",1,0
"10-19",2020-05-23,"CT",1,0
"20-29",2020-05-23,"CT",4,0
"30-39",2020-05-23,"CT",18,0
"40-49",2020-05-23,"CT",51,0
"50-59",2020-05-23,"CT",153,0
"60-69",2020-05-23,"CT",461,0
"70-79",2020-05-23,"CT",800,4
"80+",2020-05-23,"CT",2200,15
"0-9",2020-05-24,"CT",1,0
"10-19",2020-05-24,"CT",1,0
"20-29",2020-05-24,"CT",4,0
"30-39",2020-05-24,"CT",18,0
"40-49",2020-05-24,"CT",51,0
"50-59",2020-05-24,"CT",153,0
"60-69",2020-05-24,"CT",467,6
"70-79",2020-05-24,"CT",805,5
"80+",2020-05-24,"CT",2239,39
"0-9",2020-05-25,"CT",1,0
"10-19",2020-05-25,"CT",1,0
"20-29",2020-05-25,"CT",4,0
"30-39",2020-05-25,"CT",18,0
"40-49",2020-05-25,"CT",51,0
"50-59",2020-05-25,"CT",153,0
"60-69",2020-05-25,"CT",472,5
"70-79",2020-05-25,"CT",808,3
"80+",2020-05-25,"CT",2257,18
"0-9",2020-05-26,"CT",1,0
"10-19",2020-05-26,"CT",1,0
"20-29",2020-05-26,"CT",4,0
"30-39",2020-05-26,"CT",18,0
"40-49",2020-05-26,"CT",51,0
"50-59",2020-05-26,"CT",154,1
"60-69",2020-05-26,"CT",478,6
"70-79",2020-05-26,"CT",815,7
"80+",2020-05-26,"CT",2276,19
"0-9",2020-05-27,"CT",1,0
"10-19",2020-05-27,"CT",1,0
"20-29",2020-05-27,"CT",4,0
"30-39",2020-05-27,"CT",18,0
"40-49",2020-05-27,"CT",51,0
"50-59",2020-05-27,"CT",154,0
"60-69",2020-05-27,"CT",483,5
"70-79",2020-05-27,"CT",815,0
"80+",2020-05-27,"CT",2296,20
"0-9",2020-05-28,"CT",1,0
"10-19",2020-05-28,"CT",1,0
"20-29",2020-05-28,"CT",4,0
"30-39",2020-05-28,"CT",18,0
"40-49",2020-05-28,"CT",51,0
"50-59",2020-05-28,"CT",156,2
"60-69",2020-05-28,"CT",490,7
"70-79",2020-05-28,"CT",822,7
"80+",2020-05-28,"CT",2321,25
"40-49",2020-05-29,"CT",51,0
"50-59",2020-05-29,"CT",156,0
"60-69",2020-05-29,"CT",492,2
"70-79",2020-05-29,"CT",837,15
"0-9",2020-05-29,"CT",1,0
"10-19",2020-05-29,"CT",1,0
"20-29",2020-05-29,"CT",4,0
"30-39",2020-05-29,"CT",18,0
"80+",2020-05-29,"CT",2348,27
"0-9",2020-05-30,"CT",1,0
"10-19",2020-05-30,"CT",1,0
"20-29",2020-05-30,"CT",4,0
"30-39",2020-05-30,"CT",18,0
"40-49",2020-05-30,"CT",51,0
"50-59",2020-05-30,"CT",156,0
"60-69",2020-05-30,"CT",493,1
"70-79",2020-05-30,"CT",843,6
"80+",2020-05-30,"CT",2369,21
"0-9",2020-05-31,"CT",1,0
"10-19",2020-05-31,"CT",1,0
"20-29",2020-05-31,"CT",4,0
"30-39",2020-05-31,"CT",18,0
"40-49",2020-05-31,"CT",51,0
"50-59",2020-05-31,"CT",156,0
"60-69",2020-05-31,"CT",493,0
"70-79",2020-05-31,"CT",844,1
"80+",2020-05-31,"CT",2391,22
"0-9",2020-06-01,"CT",1,0
"10-19",2020-06-01,"CT",1,0
"20-29",2020-06-01,"CT",4,0
"30-39",2020-06-01,"CT",18,0
"40-49",2020-06-01,"CT",51,0
"50-59",2020-06-01,"CT",157,1
"60-69",2020-06-01,"CT",493,0
"70-79",2020-06-01,"CT",853,9
"80+",2020-06-01,"CT",2391,0
"0-9",2020-06-02,"CT",1,0
"10-19",2020-06-02,"CT",1,0
"20-29",2020-06-02,"CT",4,0
"30-39",2020-06-02,"CT",18,0
"40-49",2020-06-02,"CT",51,0
"50-59",2020-06-02,"CT",157,0
"60-69",2020-06-02,"CT",493,0
"70-79",2020-06-02,"CT",856,3
"80+",2020-06-02,"CT",2406,15
"0-9",2020-06-03,"CT",1,0
"10-19",2020-06-03,"CT",1,0
"20-29",2020-06-03,"CT",4,0
"30-39",2020-06-03,"CT",18,0
"40-49",2020-06-03,"CT",51,0
"50-59",2020-06-03,"CT",159,2
"60-69",2020-06-03,"CT",495,2
"70-79",2020-06-03,"CT",859,3
"80+",2020-06-03,"CT",2418,12
"0-9",2020-06-04,"CT",1,0
"10-19",2020-06-04,"CT",1,0
"20-29",2020-06-04,"CT",4,0
"30-39",2020-06-04,"CT",18,0
"40-49",2020-06-04,"CT",51,0
"50-59",2020-06-04,"CT",161,2
"60-69",2020-06-04,"CT",499,4
"70-79",2020-06-04,"CT",868,9
"80+",2020-06-04,"CT",2433,15
"0-9",2020-06-05,"CT",1,0
"10-19",2020-06-05,"CT",1,0
"20-29",2020-06-05,"CT",4,0
"30-39",2020-06-05,"CT",18,0
"40-49",2020-06-05,"CT",51,0
"50-59",2020-06-05,"CT",161,0
"60-69",2020-06-05,"CT",503,4
"70-79",2020-06-05,"CT",873,5
"80+",2020-06-05,"CT",2441,8
"0-9",2020-06-06,"CT",1,0
"10-19",2020-06-06,"CT",1,0
"20-29",2020-06-06,"CT",4,0
"30-39",2020-06-06,"CT",18,0
"40-49",2020-06-06,"CT",51,0
"50-59",2020-06-06,"CT",161,0
"60-69",2020-06-06,"CT",504,1
"70-79",2020-06-06,"CT",877,4
"80+",2020-06-06,"CT",2452,11
"0-9",2020-06-07,"CT",1,0
"10-19",2020-06-07,"CT",1,0
"20-29",2020-06-07,"CT",4,0
"30-39",2020-06-07,"CT",19,1
"40-49",2020-06-07,"CT",51,0
"50-59",2020-06-07,"CT",161,0
"60-69",2020-06-07,"CT",506,2
"70-79",2020-06-07,"CT",879,2
"80+",2020-06-07,"CT",2460,8
"0-9",2020-06-08,"CT",1,0
"10-19",2020-06-08,"CT",1,0
"20-29",2020-06-08,"CT",4,0
"30-39",2020-06-08,"CT",20,1
"40-49",2020-06-08,"CT",51,0
"50-59",2020-06-08,"CT",162,1
"60-69",2020-06-08,"CT",507,1
"70-79",2020-06-08,"CT",882,3
"80+",2020-06-08,"CT",2467,7
"0-9",2020-06-09,"CT",1,0
"10-19",2020-06-09,"CT",1,0
"20-29",2020-06-09,"CT",4,0
"30-39",2020-06-09,"CT",20,0
"40-49",2020-06-09,"CT",51,0
"50-59",2020-06-09,"CT",165,3
"60-69",2020-06-09,"CT",510,3
"70-79",2020-06-09,"CT",888,6
"80+",2020-06-09,"CT",2478,11
"0-9",2020-06-10,"CT",1,0
"10-19",2020-06-10,"CT",1,0
"20-29",2020-06-10,"CT",4,0
"30-39",2020-06-10,"CT",20,0
"40-49",2020-06-10,"CT",51,0
"50-59",2020-06-10,"CT",166,1
"60-69",2020-06-10,"CT",511,1
"70-79",2020-06-10,"CT",891,3
"80+",2020-06-10,"CT",2500,22
"0-9",2020-06-11,"CT",1,0
"10-19",2020-06-11,"CT",1,0
"20-29",2020-06-11,"CT",4,0
"30-39",2020-06-11,"CT",20,0
"40-49",2020-06-11,"CT",51,0
"50-59",2020-06-11,"CT",166,0
"60-69",2020-06-11,"CT",512,1
"70-79",2020-06-11,"CT",893,2
"80+",2020-06-11,"CT",2510,10
"0-9",2020-06-12,"CT",1,0
"10-19",2020-06-12,"CT",1,0
"20-29",2020-06-12,"CT",4,0
"30-39",2020-06-12,"CT",20,0
"40-49",2020-06-12,"CT",51,0
"50-59",2020-06-12,"CT",166,0
"60-69",2020-06-12,"CT",515,3
"70-79",2020-06-12,"CT",899,6
"80+",2020-06-12,"CT",2526,16
"0-9",2020-06-13,"CT",1,0
"10-19",2020-06-13,"CT",1,0
"20-29",2020-06-13,"CT",4,0
"30-39",2020-06-13,"CT",20,0
"40-49",2020-06-13,"CT",51,0
"50-59",2020-06-13,"CT",166,0
"60-69",2020-06-13,"CT",516,1
"70-79",2020-06-13,"CT",902,3
"80+",2020-06-13,"CT",2526,0
"0-9",2020-06-14,"CT",1,0
"10-19",2020-06-14,"CT",1,0
"20-29",2020-06-14,"CT",4,0
"30-39",2020-06-14,"CT",20,0
"40-49",2020-06-14,"CT",52,1
"50-59",2020-06-14,"CT",166,0
"60-69",2020-06-14,"CT",516,0
"70-79",2020-06-14,"CT",902,0
"80+",2020-06-14,"CT",2526,0
"0-9",2020-06-15,"CT",1,0
"10-19",2020-06-15,"CT",1,0
"20-29",2020-06-15,"CT",4,0
"30-39",2020-06-15,"CT",20,0
"40-49",2020-06-15,"CT",55,3
"50-59",2020-06-15,"CT",167,1
"60-69",2020-06-15,"CT",519,3
"70-79",2020-06-15,"CT",915,13
"80+",2020-06-15,"CT",2526,0
"0-9",2020-06-16,"CT",1,0
"10-19",2020-06-16,"CT",1,0
"20-29",2020-06-16,"CT",4,0
"30-39",2020-06-16,"CT",20,0
"40-49",2020-06-16,"CT",55,0
"50-59",2020-06-16,"CT",167,0
"60-69",2020-06-16,"CT",519,0
"70-79",2020-06-16,"CT",918,3
"80+",2020-06-16,"CT",2532,6
"0-9",2020-06-17,"CT",1,0
"10-19",2020-06-17,"CT",1,0
"20-29",2020-06-17,"CT",4,0
"30-39",2020-06-17,"CT",20,0
"40-49",2020-06-17,"CT",55,0
"50-59",2020-06-17,"CT",167,0
"60-69",2020-06-17,"CT",520,1
"70-79",2020-06-17,"CT",920,2
"80+",2020-06-17,"CT",2535,3
"0-9",2020-06-18,"CT",1,0
"10-19",2020-06-18,"CT",1,0
"20-29",2020-06-18,"CT",4,0
"30-39",2020-06-18,"CT",21,1
"40-49",2020-06-18,"CT",55,0
"50-59",2020-06-18,"CT",168,1
"60-69",2020-06-18,"CT",520,0
"70-79",2020-06-18,"CT",922,2
"80+",2020-06-18,"CT",2543,8
"0-9",2020-06-19,"CT",1,0
"10-19",2020-06-19,"CT",1,0
"20-29",2020-06-19,"CT",4,0
"30-39",2020-06-19,"CT",21,0
"40-49",2020-06-19,"CT",56,1
"50-59",2020-06-19,"CT",169,1
"60-69",2020-06-19,"CT",520,0
"70-79",2020-06-19,"CT",929,7
"80+",2020-06-19,"CT",2548,5
"0-9",2020-06-20,"CT",1,0
"10-19",2020-06-20,"CT",1,0
"20-29",2020-06-20,"CT",4,0
"30-39",2020-06-20,"CT",21,0
"40-49",2020-06-20,"CT",56,0
"50-59",2020-06-20,"CT",169,0
"60-69",2020-06-20,"CT",521,1
"70-79",2020-06-20,"CT",933,4
"80+",2020-06-20,"CT",2552,4
"0-9",2020-06-21,"CT",1,0
"10-19",2020-06-21,"CT",1,0
"20-29",2020-06-21,"CT",4,0
"30-39",2020-06-21,"CT",21,0
"40-49",2020-06-21,"CT",56,0
