County,WeekStartDate,Deaths,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Douglas County,28/06/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Douglas County,05/07/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Douglas County,12/07/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Douglas County,19/07/2020,2,0,0,0,1,0,1,0,2021/03/15 15:23:27
Douglas County,02/08/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Douglas County,18/10/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,01/11/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Douglas County,08/11/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Douglas County,22/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,13/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,20/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,27/12/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Douglas County,03/01/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,17/01/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Douglas County,24/01/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Ferry County,04/10/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Ferry County,22/11/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Ferry County,29/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Ferry County,13/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Franklin County,22/03/2020,2,0,0,0,2,0,0,0,2021/03/15 15:23:27
Franklin County,29/03/2020,3,0,0,0,2,0,1,0,2021/03/15 15:23:27
Franklin County,12/04/2020,8,0,0,0,1,3,4,0,2021/03/15 15:23:27
Franklin County,19/04/2020,4,0,0,0,1,3,0,0,2021/03/15 15:23:27
Franklin County,26/04/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Franklin County,03/05/2020,4,0,0,0,0,2,2,0,2021/03/15 15:23:27
Franklin County,10/05/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,24/05/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,31/05/2020,5,0,0,1,3,1,0,0,2021/03/15 15:23:27
Franklin County,07/06/2020,3,0,0,0,1,2,0,0,2021/03/15 15:23:27
Franklin County,14/06/2020,2,0,0,0,0,2,0,0,2021/03/15 15:23:27
Franklin County,21/06/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Franklin County,28/06/2020,4,0,0,0,0,2,2,0,2021/03/15 15:23:27
Franklin County,05/07/2020,6,0,0,2,0,3,1,0,2021/03/15 15:23:27
Franklin County,12/07/2020,4,0,0,0,1,2,1,0,2021/03/15 15:23:27
Franklin County,19/07/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Franklin County,26/07/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Franklin County,09/08/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Franklin County,16/08/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Franklin County,23/08/2020,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Franklin County,30/08/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Franklin County,06/09/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,13/09/2020,3,0,0,0,1,1,1,0,2021/03/15 15:23:27
Franklin County,27/09/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,25/10/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,01/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Franklin County,08/11/2020,6,0,0,0,1,5,0,0,2021/03/15 15:23:27
Franklin County,15/11/2020,5,1,0,0,2,1,1,0,2021/03/15 15:23:27
Franklin County,22/11/2020,3,0,0,1,0,1,1,0,2021/03/15 15:23:27
Franklin County,29/11/2020,4,0,0,0,1,3,0,0,2021/03/15 15:23:27
Franklin County,06/12/2020,6,0,0,0,0,1,5,0,2021/03/15 15:23:27
Franklin County,13/12/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,03/01/2021,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Franklin County,10/01/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,24/01/2021,2,0,0,0,1,0,1,0,2021/03/15 15:23:27
Franklin County,31/01/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Franklin County,21/02/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Garfield County,25/10/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Garfield County,29/11/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Garfield County,13/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Garfield County,20/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grant County,01/03/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grant County,15/03/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Grant County,12/04/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Grant County,03/05/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Grant County,24/05/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grant County,07/06/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,14/06/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Grant County,21/06/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Grant County,28/06/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,05/07/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,19/07/2020,4,0,0,1,1,0,2,0,2021/03/15 15:23:27
Grant County,02/08/2020,2,0,0,2,0,0,0,0,2021/03/15 15:23:27
Grant County,09/08/2020,3,0,0,0,1,2,0,0,2021/03/15 15:23:27
Grant County,16/08/2020,4,0,0,0,1,2,1,0,2021/03/15 15:23:27
Grant County,23/08/2020,2,0,0,1,1,0,0,0,2021/03/15 15:23:27
Grant County,13/09/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grant County,20/09/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,04/10/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,18/10/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,25/10/2020,5,0,0,0,1,1,3,0,2021/03/15 15:23:27
Grant County,01/11/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Grant County,15/11/2020,4,0,0,0,1,2,1,0,2021/03/15 15:23:27
Grant County,22/11/2020,4,0,0,0,2,2,0,0,2021/03/15 15:23:27
Grant County,29/11/2020,1,0,0,1,0,0,0,0,2021/03/15 15:23:27
Grant County,06/12/2020,5,0,0,0,4,0,1,0,2021/03/15 15:23:27
Grant County,13/12/2020,3,0,0,0,0,2,1,0,2021/03/15 15:23:27
Grant County,20/12/2020,3,0,0,0,0,3,0,0,2021/03/15 15:23:27
Grant County,27/12/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grant County,03/01/2021,2,0,0,0,0,1,1,0,2021/03/15 15:23:27
Grant County,10/01/2021,5,0,0,0,1,3,1,0,2021/03/15 15:23:27
Grant County,17/01/2021,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Grant County,31/01/2021,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Grays Harbor County,28/06/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grays Harbor County,05/07/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grays Harbor County,12/07/2020,1,0,1,0,0,0,0,0,2021/03/15 15:23:27
Grays Harbor County,26/07/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,02/08/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Grays Harbor County,16/08/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,30/08/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grays Harbor County,06/09/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,13/09/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Grays Harbor County,27/09/2020,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Grays Harbor County,11/10/2020,3,0,0,0,0,3,0,0,2021/03/15 15:23:27
Grays Harbor County,18/10/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grays Harbor County,25/10/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,08/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,15/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,22/11/2020,3,0,0,0,0,0,3,0,2021/03/15 15:23:27
Grays Harbor County,29/11/2020,5,0,0,2,1,2,0,0,2021/03/15 15:23:27
Grays Harbor County,06/12/2020,4,0,0,0,1,2,1,0,2021/03/15 15:23:27
Grays Harbor County,13/12/2020,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Grays Harbor County,20/12/2020,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grays Harbor County,27/12/2020,3,0,0,0,1,1,1,0,2021/03/15 15:23:27
Grays Harbor County,03/01/2021,2,0,0,0,2,0,0,0,2021/03/15 15:23:27
Grays Harbor County,10/01/2021,4,0,0,1,1,2,0,0,2021/03/15 15:23:27
Grays Harbor County,17/01/2021,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Grays Harbor County,24/01/2021,4,0,0,1,0,1,2,0,2021/03/15 15:23:27
Grays Harbor County,31/01/2021,2,0,0,0,1,0,1,0,2021/03/15 15:23:27
Grays Harbor County,14/02/2021,1,0,0,0,0,1,0,0,2021/03/15 15:23:27
Grays Harbor County,21/02/2021,3,0,0,0,2,1,0,0,2021/03/15 15:23:27
Island County,08/03/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Island County,15/03/2020,2,0,0,0,0,0,2,0,2021/03/15 15:23:27
Island County,22/03/2020,6,0,0,0,0,2,4,0,2021/03/15 15:23:27
Island County,26/04/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Island County,03/05/2020,1,0,0,1,0,0,0,0,2021/03/15 15:23:27
Island County,20/09/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Island County,08/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Island County,15/11/2020,3,0,0,0,0,1,2,0,2021/03/15 15:23:27
Island County,22/11/2020,4,0,0,0,0,0,4,0,2021/03/15 15:23:27
Island County,29/11/2020,3,0,0,0,0,0,3,0,2021/03/15 15:23:27
Island County,13/12/2020,1,0,1,0,0,0,0,0,2021/03/15 15:23:27
Island County,20/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Island County,03/01/2021,1,0,0,0,1,0,0,0,2021/03/15 15:23:27
Island County,07/02/2021,2,0,0,0,1,1,0,0,2021/03/15 15:23:27
Jefferson County,15/11/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
Jefferson County,13/12/2020,1,0,0,0,0,0,1,0,2021/03/15 15:23:27
King County,23/02/2020,10,0,0,0,3,4,3,0,2021/03/15 15:23:27
King County,01/03/2020,44,0,0,0,4,13,27,0,2021/03/15 15:23:27
King County,08/03/2020,61,0,0,0,5,28,28,0,2021/03/15 15:23:27
King County,15/03/2020,65,0,0,3,5,19,38,0,2021/03/15 15:23:27
King County,22/03/2020,86,0,1,3,10,23,49,0,2021/03/15 15:23:27
King County,29/03/2020,89,0,0,1,8,30,50,0,2021/03/15 15:23:27
King County,05/04/2020,67,0,0,1,12,17,37,0,2021/03/15 15:23:27
King County,12/04/2020,53,0,0,4,10,20,19,0,2021/03/15 15:23:27
King County,19/04/2020,43,0,1,1,6,11,24,0,2021/03/15 15:23:27
King County,26/04/2020,38,0,0,1,5,12,20,0,2021/03/15 15:23:27
King County,03/05/2020,20,0,1,0,3,3,13,0,2021/03/15 15:23:27
King County,10/05/2020,11,0,0,0,2,4,5,0,2021/03/15 15:23:27
King County,17/05/2020,11,0,0,0,3,2,6,0,2021/03/15 15:23:27
King County,24/05/2020,8,0,0,0,3,2,3,0,2021/03/15 15:23:27
