"age","code","date","daily.deaths","cum.deaths"
"60-69","ID",2020-07-11,0,13
"50-59","ID",2020-07-11,0,3
"40-49","ID",2020-07-11,0,0
"30-39","ID",2020-07-11,0,0
"18-29","ID",2020-07-11,0,0
"0-17","ID",2020-07-11,0,0
"80+","ID",2020-07-12,0,64
"70-79","ID",2020-07-12,0,21
"60-69","ID",2020-07-12,1,14
"50-59","ID",2020-07-12,0,3
"40-49","ID",2020-07-12,0,0
"30-39","ID",2020-07-12,0,0
"18-29","ID",2020-07-12,0,0
"0-17","ID",2020-07-12,0,0
"80+","ID",2020-07-13,0,64
"70-79","ID",2020-07-13,0,21
"60-69","ID",2020-07-13,0,14
"50-59","ID",2020-07-13,0,3
"40-49","ID",2020-07-13,0,0
"30-39","ID",2020-07-13,0,0
"18-29","ID",2020-07-13,0,0
"0-17","ID",2020-07-13,0,0
"80+","ID",2020-07-14,0,64
"70-79","ID",2020-07-14,1,22
"60-69","ID",2020-07-14,0,14
"50-59","ID",2020-07-14,0,3
"40-49","ID",2020-07-14,0,0
"30-39","ID",2020-07-14,0,0
"18-29","ID",2020-07-14,0,0
"0-17","ID",2020-07-14,0,0
"80+","ID",2020-07-15,4,68
"70-79","ID",2020-07-15,2,24
"60-69","ID",2020-07-15,1,15
"50-59","ID",2020-07-15,0,3
"40-49","ID",2020-07-15,0,0
"30-39","ID",2020-07-15,0,0
"18-29","ID",2020-07-15,0,0
"0-17","ID",2020-07-15,0,0
"80+","ID",2020-07-16,3,71
"70-79","ID",2020-07-16,0,24
"60-69","ID",2020-07-16,0,15
"50-59","ID",2020-07-16,0,3
"40-49","ID",2020-07-16,1,1
"30-39","ID",2020-07-16,0,0
"18-29","ID",2020-07-16,0,0
"0-17","ID",2020-07-16,0,0
"80+","ID",2020-07-17,2,73
"70-79","ID",2020-07-17,1,25
"60-69","ID",2020-07-17,0,15
"50-59","ID",2020-07-17,1,4
"40-49","ID",2020-07-17,0,1
"30-39","ID",2020-07-17,0,0
"18-29","ID",2020-07-17,0,0
"0-17","ID",2020-07-17,0,0
"80+","ID",2020-07-18,0,73
