AgeGroups,Cases,Deaths,Rate,DateUpdated
80 and older,6100,2200,3716,05/23/2020
0-9,459,1,121,05/24/2020
10-19,1016,1,221,05/24/2020
20-29,4590,4,985,05/24/2020
30-39,5705,19,1296,05/24/2020
40-49,5788,52,1314,05/24/2020
50-59,7087,153,1339,05/24/2020
60-69,5971,467,1380,05/24/2020
70-79,3995,805,1533,05/24/2020
80 and older,6147,2239,3744,05/24/2020
0-9,465,1,123,05/25/2020
10-19,1040,1,226,05/25/2020
20-29,4650,4,998,05/25/2020
30-39,5747,19,1305,05/25/2020
40-49,5882,53,1335,05/25/2020
50-59,7184,153,1357,05/25/2020
60-69,6021,472,1392,05/25/2020
70-79,4016,808,1541,05/25/2020
80 and older,6165,2257,3755,05/25/2020
0-9,477,1,126,05/26/2020
10-19,1040,1,226,05/26/2020
20-29,4641,4,996,05/26/2020
30-39,5753,19,1306,05/26/2020
40-49,5846,53,1327,05/26/2020
50-59,7150,154,1350,05/26/2020
60-69,6025,478,1393,05/26/2020
70-79,4022,816,1543,05/26/2020
80 and older,6222,2276,3790,05/26/2020
0-9,481,1,127,05/27/2020
10-19,1050,1,228,05/27/2020
20-29,4682,4,1005,05/27/2020
30-39,5791,19,1315,05/27/2020
40-49,5871,52,1333,05/27/2020
50-59,7200,154,1360,05/27/2020
60-69,6067,483,1402,05/27/2020
70-79,4039,815,1550,05/27/2020
80 and older,6265,2296,3816,05/27/2020
0-9,488,1,129,05/28/2020
10-19,1059,1,230,05/28/2020
20-29,4702,4,1009,05/28/2020
30-39,5829,19,1324,05/28/2020
40-49,5896,52,1339,05/28/2020
50-59,7219,157,1364,05/28/2020
60-69,6096,490,1409,05/28/2020
70-79,4055,822,1556,05/28/2020
80 and older,6299,2321,3837,05/28/2020
