"date","code","age","cum.deaths","daily.deaths"
2020-05-05,"TN","70-79",60,3
2020-05-05,"TN","80+",79,3
2020-05-06,"TN","0-9",1,0
2020-05-06,"TN","10-19",1,0
2020-05-06,"TN","20-29",2,0
2020-05-06,"TN","30-39",3,0
2020-05-06,"TN","40-49",10,0
2020-05-06,"TN","50-59",18,1
2020-05-06,"TN","60-69",52,1
2020-05-06,"TN","70-79",66,6
2020-05-06,"TN","80+",83,4
2020-05-07,"TN","0-9",1,0
2020-05-07,"TN","10-19",1,0
2020-05-07,"TN","20-29",2,0
2020-05-07,"TN","30-39",3,0
2020-05-07,"TN","40-49",10,0
2020-05-07,"TN","50-59",18,0
2020-05-07,"TN","60-69",52,0
2020-05-07,"TN","70-79",66,0
2020-05-07,"TN","80+",83,0
2020-05-08,"TN","0-9",1,0
2020-05-08,"TN","10-19",1,0
2020-05-08,"TN","20-29",2,0
2020-05-08,"TN","30-39",3,0
2020-05-08,"TN","40-49",10,0
2020-05-08,"TN","50-59",18,0
2020-05-08,"TN","60-69",53,1
2020-05-08,"TN","70-79",68,2
2020-05-08,"TN","80+",84,1
2020-05-09,"TN","0-9",1,0
2020-05-09,"TN","10-19",1,0
2020-05-09,"TN","20-29",2,0
2020-05-09,"TN","30-39",3,0
2020-05-09,"TN","40-49",10,0
2020-05-09,"TN","50-59",18,0
2020-05-09,"TN","60-69",53,0
2020-05-09,"TN","70-79",69,1
2020-05-09,"TN","80+",84,0
2020-05-10,"TN","0-9",1,0
2020-05-10,"TN","10-19",1,0
2020-05-10,"TN","20-29",2,0
2020-05-10,"TN","30-39",3,0
2020-05-10,"TN","40-49",10,0
2020-05-10,"TN","50-59",18,0
2020-05-10,"TN","60-69",53,0
2020-05-10,"TN","70-79",70,1
2020-05-10,"TN","80+",84,0
2020-05-11,"TN","0-9",1,0
2020-05-11,"TN","10-19",1,0
2020-05-11,"TN","20-29",2,0
2020-05-11,"TN","30-39",3,0
2020-05-11,"TN","40-49",10,0
2020-05-11,"TN","50-59",18,0
2020-05-11,"TN","60-69",54,1
2020-05-11,"TN","70-79",71,1
2020-05-11,"TN","80+",88,4
2020-05-12,"TN","0-9",1,0
2020-05-12,"TN","10-19",1,0
2020-05-12,"TN","20-29",2,0
2020-05-12,"TN","30-39",3,0
2020-05-12,"TN","40-49",12,2
2020-05-12,"TN","50-59",22,4
2020-05-12,"TN","60-69",57,3
2020-05-12,"TN","70-79",72,1
2020-05-12,"TN","80+",91,3
2020-05-13,"TN","0-9",1,0
2020-05-13,"TN","10-19",1,0
2020-05-13,"TN","20-29",2,0
2020-05-13,"TN","30-39",3,0
2020-05-13,"TN","40-49",14,2
2020-05-13,"TN","50-59",23,1
2020-05-13,"TN","60-69",58,1
2020-05-13,"TN","70-79",75,3
2020-05-13,"TN","80+",93,2
2020-05-14,"TN","0-9",1,0
2020-05-14,"TN","10-19",1,0
2020-05-14,"TN","20-29",2,0
2020-05-14,"TN","30-39",3,0
2020-05-14,"TN","40-49",14,0
2020-05-14,"TN","50-59",25,2
2020-05-14,"TN","60-69",61,3
2020-05-14,"TN","70-79",80,5
2020-05-14,"TN","80+",97,4
2020-05-15,"TN","0-9",1,0
2020-05-15,"TN","10-19",1,0
2020-05-15,"TN","20-29",2,0
2020-05-15,"TN","30-39",3,0
2020-05-15,"TN","40-49",14,0
2020-05-15,"TN","50-59",25,0
2020-05-15,"TN","60-69",61,0
2020-05-15,"TN","70-79",83,3
2020-05-15,"TN","80+",97,0
2020-05-16,"TN","0-9",1,0
2020-05-16,"TN","10-19",1,0
2020-05-16,"TN","20-29",2,0
2020-05-16,"TN","30-39",3,0
2020-05-16,"TN","40-49",14,0
2020-05-16,"TN","50-59",25,0
2020-05-16,"TN","60-69",62,1
2020-05-16,"TN","70-79",85,2
2020-05-16,"TN","80+",99,2
2020-05-17,"TN","0-9",1,0
2020-05-17,"TN","10-19",1,0
2020-05-17,"TN","20-29",2,0
2020-05-17,"TN","30-39",3,0
2020-05-17,"TN","40-49",14,0
2020-05-17,"TN","50-59",25,0
2020-05-17,"TN","60-69",63,1
2020-05-17,"TN","70-79",85,0
2020-05-17,"TN","80+",101,2
2020-05-18,"TN","0-9",1,0
2020-05-18,"TN","10-19",1,0
2020-05-18,"TN","20-29",2,0
2020-05-18,"TN","30-39",3,0
2020-05-18,"TN","40-49",14,0
2020-05-18,"TN","50-59",26,1
2020-05-18,"TN","60-69",63,0
2020-05-18,"TN","70-79",85,0
2020-05-18,"TN","80+",103,2
2020-05-19,"TN","0-9",1,0
2020-05-19,"TN","10-19",1,0
2020-05-19,"TN","20-29",2,0
2020-05-19,"TN","30-39",3,0
2020-05-19,"TN","40-49",14,0
2020-05-19,"TN","50-59",26,0
2020-05-19,"TN","60-69",63,0
2020-05-19,"TN","70-79",87,2
2020-05-19,"TN","80+",104,1
2020-05-20,"TN","0-9",1,0
2020-05-20,"TN","10-19",1,0
2020-05-20,"TN","20-29",2,0
2020-05-20,"TN","30-39",3,0
2020-05-20,"TN","40-49",14,0
2020-05-20,"TN","50-59",26,0
2020-05-20,"TN","60-69",66,3
2020-05-20,"TN","70-79",87,0
2020-05-20,"TN","80+",106,2
2020-05-21,"TN","0-9",1,0
2020-05-21,"TN","10-19",1,0
2020-05-21,"TN","20-29",2,0
2020-05-21,"TN","30-39",3,0
2020-05-21,"TN","40-49",14,0
2020-05-21,"TN","50-59",26,0
2020-05-21,"TN","60-69",66,0
2020-05-21,"TN","70-79",89,2
2020-05-21,"TN","80+",107,1
2020-05-22,"TN","0-9",1,0
2020-05-22,"TN","10-19",1,0
2020-05-22,"TN","20-29",2,0
2020-05-22,"TN","30-39",3,0
2020-05-22,"TN","40-49",14,0
2020-05-22,"TN","50-59",26,0
2020-05-22,"TN","60-69",66,0
2020-05-22,"TN","70-79",90,1
2020-05-22,"TN","80+",108,1
2020-05-23,"TN","0-9",1,0
2020-05-23,"TN","10-19",1,0
2020-05-23,"TN","20-29",2,0
2020-05-23,"TN","30-39",3,0
2020-05-23,"TN","40-49",15,1
2020-05-23,"TN","50-59",28,2
2020-05-23,"TN","60-69",68,2
2020-05-23,"TN","70-79",92,2
2020-05-23,"TN","80+",115,7
2020-05-24,"TN","0-9",1,0
2020-05-24,"TN","10-19",1,0
2020-05-24,"TN","20-29",2,0
2020-05-24,"TN","30-39",3,0
2020-05-24,"TN","40-49",16,1
2020-05-24,"TN","50-59",28,0
2020-05-24,"TN","60-69",71,3
2020-05-24,"TN","70-79",94,2
2020-05-24,"TN","80+",116,1
2020-05-25,"TN","0-9",1,0
2020-05-25,"TN","10-19",1,0
2020-05-25,"TN","20-29",2,0
2020-05-25,"TN","30-39",3,0
2020-05-25,"TN","40-49",16,0
2020-05-25,"TN","50-59",28,0
2020-05-25,"TN","60-69",72,1
2020-05-25,"TN","70-79",94,0
2020-05-25,"TN","80+",117,1
2020-05-26,"TN","0-9",1,0
2020-05-26,"TN","10-19",1,0
2020-05-26,"TN","20-29",2,0
2020-05-26,"TN","30-39",3,0
2020-05-26,"TN","40-49",16,0
2020-05-26,"TN","50-59",29,1
2020-05-26,"TN","60-69",73,1
2020-05-26,"TN","70-79",95,1
2020-05-26,"TN","80+",119,2
2020-05-27,"TN","0-9",1,0
2020-05-27,"TN","10-19",1,0
2020-05-27,"TN","20-29",2,0
2020-05-27,"TN","30-39",5,2
2020-05-27,"TN","40-49",16,0
2020-05-27,"TN","50-59",29,0
2020-05-27,"TN","60-69",76,3
2020-05-27,"TN","70-79",98,3
2020-05-27,"TN","80+",121,2
2020-05-28,"TN","0-9",1,0
2020-05-28,"TN","10-19",1,0
2020-05-28,"TN","20-29",2,0
2020-05-28,"TN","30-39",5,0
2020-05-28,"TN","40-49",17,1
2020-05-28,"TN","50-59",29,0
2020-05-28,"TN","60-69",77,1
2020-05-28,"TN","70-79",98,0
2020-05-28,"TN","80+",122,1
2020-05-29,"TN","0-9",1,0
2020-05-29,"TN","10-19",1,0
2020-05-29,"TN","20-29",2,0
2020-05-29,"TN","30-39",5,0
2020-05-29,"TN","40-49",18,1
2020-05-29,"TN","50-59",29,0
2020-05-29,"TN","60-69",78,1
2020-05-29,"TN","70-79",98,0
2020-05-29,"TN","80+",124,2
2020-05-30,"TN","0-9",1,0
2020-05-30,"TN","10-19",1,0
2020-05-30,"TN","20-29",2,0
2020-05-30,"TN","30-39",5,0
2020-05-30,"TN","40-49",18,0
2020-05-30,"TN","50-59",29,0
2020-05-30,"TN","60-69",78,0
2020-05-30,"TN","70-79",100,2
2020-05-30,"TN","80+",126,2
2020-05-31,"TN","0-9",1,0
2020-05-31,"TN","10-19",1,0
2020-05-31,"TN","20-29",2,0
2020-05-31,"TN","30-39",5,0
2020-05-31,"TN","40-49",18,0
2020-05-31,"TN","50-59",29,0
2020-05-31,"TN","60-69",78,0
2020-05-31,"TN","70-79",100,0
2020-05-31,"TN","80+",126,0
2020-06-01,"TN","0-9",1,0
2020-06-01,"TN","10-19",1,0
2020-06-01,"TN","20-29",2,0
2020-06-01,"TN","30-39",5,0
2020-06-01,"TN","40-49",19,1
2020-06-01,"TN","50-59",29,0
2020-06-01,"TN","60-69",78,0
2020-06-01,"TN","70-79",101,1
2020-06-01,"TN","80+",127,1
2020-06-02,"TN","0-9",1,0
2020-06-02,"TN","10-19",1,0
2020-06-02,"TN","20-29",2,0
2020-06-02,"TN","30-39",5,0
2020-06-02,"TN","40-49",20,1
