"date","state","code","age","cum.deaths","daily.deaths"
2020-05-09,"Illinois","IL","25-34",0,NA
2020-05-09,"Illinois","IL","35-44",0,NA
2020-05-09,"Illinois","IL","45-54",127,NA
2020-05-09,"Illinois","IL","5-14",0,NA
2020-05-09,"Illinois","IL","55-64",269,NA
2020-05-09,"Illinois","IL","65-74",485,NA
2020-05-09,"Illinois","IL","75-84",593,NA
2020-05-09,"Illinois","IL","85+",674,NA
2020-05-09,"Indiana","IN","0-1",0,NA
2020-05-09,"Indiana","IN","1-4",0,NA
2020-05-09,"Indiana","IN","15-24",0,NA
2020-05-09,"Indiana","IN","25-34",0,NA
2020-05-09,"Indiana","IN","35-44",0,NA
2020-05-09,"Indiana","IN","45-54",22,NA
2020-05-09,"Indiana","IN","5-14",0,NA
2020-05-09,"Indiana","IN","55-64",101,NA
2020-05-09,"Indiana","IN","65-74",209,NA
2020-05-09,"Indiana","IN","75-84",287,NA
2020-05-09,"Indiana","IN","85+",297,NA
2020-05-09,"Louisiana","LA","0-1",0,NA
2020-05-09,"Louisiana","LA","1-4",0,NA
2020-05-09,"Louisiana","LA","15-24",0,NA
2020-05-09,"Louisiana","LA","25-34",0,NA
2020-05-09,"Louisiana","LA","35-44",37,NA
2020-05-09,"Louisiana","LA","45-54",74,NA
2020-05-09,"Louisiana","LA","5-14",0,NA
2020-05-09,"Louisiana","LA","55-64",201,NA
2020-05-09,"Louisiana","LA","65-74",281,NA
2020-05-09,"Louisiana","LA","75-84",409,NA
2020-05-09,"Louisiana","LA","85+",338,NA
2020-05-09,"Maryland","MD","0-1",0,NA
2020-05-09,"Maryland","MD","1-4",0,NA
2020-05-09,"Maryland","MD","15-24",0,NA
2020-05-09,"Maryland","MD","25-34",0,NA
2020-05-09,"Maryland","MD","35-44",0,NA
2020-05-09,"Maryland","MD","45-54",47,NA
2020-05-09,"Maryland","MD","5-14",0,NA
2020-05-09,"Maryland","MD","55-64",147,NA
2020-05-09,"Maryland","MD","65-74",241,NA
2020-05-09,"Maryland","MD","75-84",361,NA
2020-05-09,"Maryland","MD","85+",397,NA
2020-05-09,"Massachusetts","MA","0-1",0,NA
2020-05-09,"Massachusetts","MA","1-4",0,NA
2020-05-09,"Massachusetts","MA","15-24",0,NA
2020-05-09,"Massachusetts","MA","25-34",0,NA
2020-05-09,"Massachusetts","MA","35-44",0,NA
2020-05-09,"Massachusetts","MA","45-54",70,NA
2020-05-09,"Massachusetts","MA","5-14",0,NA
2020-05-09,"Massachusetts","MA","55-64",231,NA
2020-05-09,"Massachusetts","MA","65-74",520,NA
2020-05-09,"Massachusetts","MA","75-84",1059,NA
2020-05-09,"Massachusetts","MA","85+",1817,NA
2020-05-09,"Michigan","MI","0-1",0,NA
2020-05-09,"Michigan","MI","1-4",0,NA
2020-05-09,"Michigan","MI","15-24",0,NA
2020-05-09,"Michigan","MI","25-34",0,NA
2020-05-09,"Michigan","MI","35-44",43,NA
2020-05-09,"Michigan","MI","45-54",174,NA
2020-05-09,"Michigan","MI","5-14",0,NA
2020-05-09,"Michigan","MI","55-64",333,NA
