Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,All Ages,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,All Sexes,All Ages,8498,77079,8720,4955,147,12409,
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,All Ages,4964,42341,5057,2961,79,7138,
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,Under 1 year,0,220,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,0-17 years,,492,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,1-4 years,,59,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,5-14 years,,77,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,15-24 years,21,860,20,10,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,18-29 years,46,1427,48,29,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,25-34 years,70,1527,63,40,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,30-49 years,346,3809,273,187,,438,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,35-44 years,161,1809,126,85,,205,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,45-54 years,372,2826,317,223,,474,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,50-64 years,1011,7772,980,615,22,1398,
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,55-64 years,781,6122,777,473,15,1100,
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,65-74 years,1169,9190,1235,731,19,1692,
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,75-84 years,1379,10693,1452,828,15,2017,
01/21/2021,01/01/2020,01/16/2021,Arizona,Male,85 years and over,1007,8958,1061,569,11,1510,
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,All Ages,3534,34738,3663,1994,68,5271,
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,Under 1 year,0,176,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,0-17 years,,333,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,1-4 years,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,5-14 years,,66,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,15-24 years,,256,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,18-29 years,20,460,18,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,25-34 years,38,595,37,20,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,30-49 years,187,1852,173,109,,260,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,35-44 years,84,858,63,38,,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,45-54 years,173,1590,187,114,,253,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,50-64 years,553,4632,578,324,14,821,
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,55-64 years,458,3692,473,265,11,677,
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,65-74 years,794,6477,855,490,19,1178,
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,75-84 years,962,8991,1021,557,15,1441,
01/21/2021,01/01/2020,01/16/2021,Arizona,Female,85 years and over,1016,11993,1011,503,10,1534,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,All Ages,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arkansas,All Sexes,All Ages,3728,37869,3769,1662,101,5931,
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,All Ages,1894,19699,1998,911,51,3031,
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,Under 1 year,0,136,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,0-17 years,0,260,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,1-4 years,0,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,5-14 years,0,38,0,0,0,0,
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,15-24 years,,298,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,18-29 years,,457,11,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,25-34 years,15,504,16,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/01/2020,01/16/2021,Arkansas,Male,30-49 years,77,1609,83,25,,141,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
