Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/27/2021,01/01/2020,01/23/2021,United States,Female,45-54 years,5522,70171,6049,2714,317,9139,
01/27/2021,01/01/2020,01/23/2021,United States,Female,50-64 years,18488,209804,20541,9411,877,30399,
01/27/2021,01/01/2020,01/23/2021,United States,Female,55-64 years,15069,167394,16735,7729,686,24687,
01/27/2021,01/01/2020,01/23/2021,United States,Female,65-74 years,29564,280061,30109,14824,828,45583,
01/27/2021,01/01/2020,01/23/2021,United States,Female,75-84 years,43733,391436,40849,20212,942,65204,
01/27/2021,01/01/2020,01/23/2021,United States,Female,85 years and over,67452,618708,53436,24714,1061,97129,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,All Ages,7,102,6,5,0,8,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,Under 1 year,0,33,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,0-17 years,0,34,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,1-4 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,5-14 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,15-24 years,0,2,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,18-29 years,0,3,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,25-34 years,0,4,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,30-49 years,0,6,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,35-44 years,0,3,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,50-64 years,1,11,1,1,0,1,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,55-64 years,0,8,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,65-74 years,1,8,1,1,0,1,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,75-84 years,3,12,3,2,0,4,
01/27/2021,01/01/2020,01/23/2021,United States,Unknown,85 years and over,2,28,1,1,0,2,
01/27/2021,01/01/2020,01/23/2021,Alabama,All Sexes,All Ages,6473,63386,5196,2117,135,9678,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,All Ages,3429,32931,2820,1151,81,5174,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,Under 1 year,,208,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,0-17 years,,404,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,1-4 years,0,47,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,5-14 years,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,15-24 years,,528,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,18-29 years,18,859,12,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,25-34 years,28,920,32,12,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,30-49 years,158,2815,155,52,,266,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,35-44 years,69,1333,71,25,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,45-54 years,200,2393,150,57,,300,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,50-64 years,630,7015,508,193,28,972,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,55-64 years,505,5593,419,156,23,790,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,65-74 years,963,8007,794,335,25,1446,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,75-84 years,1008,8130,818,344,10,1491,
01/27/2021,01/01/2020,01/23/2021,Alabama,Male,85 years and over,651,5701,530,222,,965,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,All Ages,3044,30455,2376,966,54,4504,
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,Under 1 year,,154,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,0-17 years,,239,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,1-4 years,0,35,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,5-14 years,0,33,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,15-24 years,,181,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,18-29 years,,305,14,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,25-34 years,15,403,21,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,30-49 years,113,1642,92,32,,179,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,35-44 years,50,768,39,11,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,45-54 years,160,1605,110,50,,227,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,50-64 years,462,4708,413,142,18,750,
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,55-64 years,352,3715,340,106,12,597,
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,65-74 years,668,5932,527,219,14,990,
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,75-84 years,837,7964,686,302,10,1230,
01/27/2021,01/01/2020,01/23/2021,Alabama,Female,85 years and over,957,9665,639,268,,1331,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,All Ages,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,All Sexes,All Ages,206,4799,278,117,,376,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,All Ages,118,2762,152,62,,213,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,Under 1 year,0,27,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,0-17 years,0,65,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,5-14 years,0,21,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,15-24 years,0,88,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,18-29 years,0,130,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,25-34 years,0,127,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,30-49 years,,316,18,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,35-44 years,,161,11,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,45-54 years,,221,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,50-64 years,15,638,25,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,55-64 years,12,500,22,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,65-74 years,34,618,33,18,0,49,
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,75-84 years,38,612,43,20,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Male,85 years and over,22,383,32,13,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,All Ages,88,2037,126,55,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,Under 1 year,0,13,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,0-17 years,0,30,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,15-24 years,,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,18-29 years,,61,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,25-34 years,,81,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,30-49 years,,215,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,35-44 years,,98,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,45-54 years,,140,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,50-64 years,15,366,24,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,55-64 years,14,295,20,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,65-74 years,15,420,25,11,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,75-84 years,21,423,26,15,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Alaska,Female,85 years and over,29,522,37,16,0,50,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,All Ages,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,All Sexes,All Ages,9209,78511,9201,5391,148,13165,
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,All Ages,5401,43160,5356,3234,79,7601,
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,Under 1 year,0,220,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,0-17 years,,496,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,1-4 years,,59,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,5-14 years,,79,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,15-24 years,22,866,20,10,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,18-29 years,47,1438,48,29,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,25-34 years,70,1541,63,40,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,30-49 years,363,3855,285,198,,456,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,35-44 years,171,1835,133,91,,216,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,45-54 years,394,2868,333,237,,498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,50-64 years,1085,7913,1038,663,22,1482,
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,55-64 years,840,6234,824,512,15,1167,
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,65-74 years,1278,9377,1306,800,19,1803,
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,75-84 years,1529,10943,1556,924,15,2175,
01/27/2021,01/01/2020,01/23/2021,Arizona,Male,85 years and over,1093,9138,1115,618,11,1601,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,All Ages,3808,35351,3845,2157,69,5564,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,Under 1 year,0,176,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,0-17 years,,338,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,1-4 years,0,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,5-14 years,,68,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,15-24 years,,259,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,18-29 years,23,464,19,10,0,32,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,25-34 years,43,605,41,23,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,30-49 years,205,1890,184,117,,281,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,35-44 years,91,874,66,40,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,45-54 years,188,1621,195,121,,269,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,50-64 years,587,4717,606,349,15,858,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,55-64 years,484,3760,497,286,11,706,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,65-74 years,845,6587,892,525,19,1231,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,75-84 years,1030,9139,1070,601,15,1514,
01/27/2021,01/01/2020,01/23/2021,Arizona,Female,85 years and over,1116,12216,1067,553,10,1640,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,All Ages,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arkansas,All Sexes,All Ages,3923,38511,3879,1743,102,6155,
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,All Ages,1989,20019,2058,956,52,3141,
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,Under 1 year,0,136,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,0-17 years,0,260,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,1-4 years,0,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,5-14 years,0,38,0,0,0,0,
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,15-24 years,,301,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,18-29 years,,462,11,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,25-34 years,15,511,17,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/27/2021,01/01/2020,01/23/2021,Arkansas,Male,30-49 years,81,1635,86,27,,146,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
