"age","cum.deaths","daily.deaths","code","date"
"60-69",350,4,"IN",2020-06-07
"70-79",514,2,"IN",2020-06-07
"80+",1082,4,"IN",2020-06-07
"0-19",2,0,"IN",2020-06-08
"20-29",5,0,"IN",2020-06-08
"30-39",14,0,"IN",2020-06-08
"40-49",41,0,"IN",2020-06-08
"50-59",113,0,"IN",2020-06-08
"60-69",354,4,"IN",2020-06-08
"70-79",518,4,"IN",2020-06-08
"80+",1088,6,"IN",2020-06-08
"0-19",2,0,"IN",2020-06-09
"20-29",5,0,"IN",2020-06-09
"30-39",14,0,"IN",2020-06-09
"40-49",41,0,"IN",2020-06-09
"50-59",113,0,"IN",2020-06-09
"60-69",357,3,"IN",2020-06-09
"70-79",525,7,"IN",2020-06-09
"80+",1101,13,"IN",2020-06-09
"0-19",2,0,"IN",2020-06-10
"20-29",5,0,"IN",2020-06-10
"30-39",14,0,"IN",2020-06-10
"40-49",42,1,"IN",2020-06-10
"50-59",113,0,"IN",2020-06-10
"60-69",358,1,"IN",2020-06-10
"70-79",531,6,"IN",2020-06-10
"80+",1108,7,"IN",2020-06-10
"0-19",2,0,"IN",2020-06-11
"20-29",5,0,"IN",2020-06-11
"30-39",14,0,"IN",2020-06-11
"40-49",42,0,"IN",2020-06-11
"50-59",114,1,"IN",2020-06-11
"60-69",363,5,"IN",2020-06-11
"70-79",537,6,"IN",2020-06-11
"80+",1121,13,"IN",2020-06-11
"0-19",2,0,"IN",2020-06-12
"20-29",5,0,"IN",2020-06-12
"30-39",15,1,"IN",2020-06-12
"40-49",42,0,"IN",2020-06-12
"50-59",115,1,"IN",2020-06-12
"60-69",364,1,"IN",2020-06-12
"70-79",542,5,"IN",2020-06-12
"80+",1129,8,"IN",2020-06-12
"0-19",2,0,"IN",2020-06-13
"20-29",5,0,"IN",2020-06-13
"30-39",15,0,"IN",2020-06-13
"40-49",42,0,"IN",2020-06-13
"50-59",117,2,"IN",2020-06-13
"60-69",366,2,"IN",2020-06-13
"70-79",544,2,"IN",2020-06-13
"80+",1140,11,"IN",2020-06-13
"0-19",2,0,"IN",2020-06-14
"20-29",5,0,"IN",2020-06-14
"30-39",15,0,"IN",2020-06-14
"40-49",42,0,"IN",2020-06-14
"50-59",118,1,"IN",2020-06-14
"60-69",369,3,"IN",2020-06-14
"70-79",546,2,"IN",2020-06-14
"80+",1143,3,"IN",2020-06-14
"0-19",2,0,"IN",2020-06-15
"20-29",5,0,"IN",2020-06-15
"30-39",15,0,"IN",2020-06-15
"40-49",42,0,"IN",2020-06-15
"50-59",119,1,"IN",2020-06-15
"60-69",370,1,"IN",2020-06-15
"70-79",550,4,"IN",2020-06-15
"80+",1148,5,"IN",2020-06-15
"0-19",2,0,"IN",2020-06-16
"20-29",5,0,"IN",2020-06-16
"30-39",15,0,"IN",2020-06-16
"40-49",43,1,"IN",2020-06-16
"50-59",119,0,"IN",2020-06-16
"60-69",371,1,"IN",2020-06-16
"70-79",554,4,"IN",2020-06-16
"80+",1156,8,"IN",2020-06-16
"0-19",2,0,"IN",2020-06-17
"20-29",5,0,"IN",2020-06-17
"30-39",15,0,"IN",2020-06-17
"40-49",44,1,"IN",2020-06-17
"50-59",119,0,"IN",2020-06-17
"60-69",376,5,"IN",2020-06-17
"70-79",561,7,"IN",2020-06-17
"80+",1167,11,"IN",2020-06-17
"0-19",2,0,"IN",2020-06-18
"20-29",5,0,"IN",2020-06-18
"30-39",16,1,"IN",2020-06-18
"40-49",44,0,"IN",2020-06-18
"50-59",121,2,"IN",2020-06-18
"60-69",379,3,"IN",2020-06-18
"70-79",565,4,"IN",2020-06-18
"80+",1172,5,"IN",2020-06-18
"0-19",2,0,"IN",2020-06-19
"20-29",5,0,"IN",2020-06-19
"30-39",16,0,"IN",2020-06-19
"40-49",44,0,"IN",2020-06-19
"50-59",121,0,"IN",2020-06-19
"60-69",382,3,"IN",2020-06-19
"70-79",572,7,"IN",2020-06-19
"80+",1185,13,"IN",2020-06-19
"0-19",2,0,"IN",2020-06-20
"20-29",5,0,"IN",2020-06-20
"30-39",16,0,"IN",2020-06-20
"40-49",44,0,"IN",2020-06-20
"50-59",121,0,"IN",2020-06-20
"60-69",385,3,"IN",2020-06-20
"70-79",576,4,"IN",2020-06-20
"80+",1197,12,"IN",2020-06-20
"0-19",2,0,"IN",2020-06-21
"20-29",5,0,"IN",2020-06-21
"30-39",16,0,"IN",2020-06-21
"40-49",44,0,"IN",2020-06-21
"50-59",121,0,"IN",2020-06-21
"60-69",386,1,"IN",2020-06-21
"70-79",576,0,"IN",2020-06-21
"80+",1200,3,"IN",2020-06-21
"0-19",2,0,"IN",2020-06-22
"20-29",5,0,"IN",2020-06-22
"30-39",16,0,"IN",2020-06-22
"40-49",44,0,"IN",2020-06-22
"50-59",121,0,"IN",2020-06-22
"60-69",387,1,"IN",2020-06-22
"70-79",580,4,"IN",2020-06-22
"80+",1208,8,"IN",2020-06-22
"0-19",2,0,"IN",2020-06-23
"20-29",5,0,"IN",2020-06-23
"30-39",16,0,"IN",2020-06-23
"40-49",44,0,"IN",2020-06-23
"50-59",122,1,"IN",2020-06-23
"60-69",389,2,"IN",2020-06-23
"70-79",583,3,"IN",2020-06-23
"80+",1216,8,"IN",2020-06-23
"0-19",2,0,"IN",2020-06-24
"20-29",6,1,"IN",2020-06-24
"30-39",16,0,"IN",2020-06-24
"40-49",45,1,"IN",2020-06-24
"50-59",123,1,"IN",2020-06-24
"60-69",390,1,"IN",2020-06-24
"70-79",584,1,"IN",2020-06-24
"80+",1220,4,"IN",2020-06-24
"0-19",2,0,"IN",2020-06-25
"20-29",6,0,"IN",2020-06-25
"30-39",16,0,"IN",2020-06-25
"40-49",45,0,"IN",2020-06-25
"50-59",123,0,"IN",2020-06-25
"60-69",391,1,"IN",2020-06-25
"70-79",587,3,"IN",2020-06-25
"80+",1224,4,"IN",2020-06-25
"0-19",2,0,"IN",2020-06-26
"20-29",6,0,"IN",2020-06-26
"30-39",16,0,"IN",2020-06-26
"40-49",45,0,"IN",2020-06-26
"50-59",123,0,"IN",2020-06-26
"60-69",391,0,"IN",2020-06-26
"70-79",590,3,"IN",2020-06-26
"80+",1230,6,"IN",2020-06-26
"0-19",2,0,"IN",2020-06-27
"20-29",6,0,"IN",2020-06-27
"30-39",16,0,"IN",2020-06-27
"40-49",45,0,"IN",2020-06-27
"50-59",123,0,"IN",2020-06-27
"60-69",392,1,"IN",2020-06-27
"70-79",594,4,"IN",2020-06-27
"80+",1246,16,"IN",2020-06-27
"0-19",2,0,"IN",2020-06-28
"20-29",6,0,"IN",2020-06-28
"30-39",16,0,"IN",2020-06-28
"40-49",45,0,"IN",2020-06-28
"50-59",123,0,"IN",2020-06-28
"60-69",392,0,"IN",2020-06-28
"70-79",594,0,"IN",2020-06-28
"80+",1249,3,"IN",2020-06-28
"0-19",2,0,"IN",2020-06-29
"20-29",6,0,"IN",2020-06-29
"30-39",16,0,"IN",2020-06-29
"40-49",45,0,"IN",2020-06-29
"50-59",123,0,"IN",2020-06-29
"60-69",393,2,"IN",2020-06-29
"70-79",596,3,"IN",2020-06-29
"80+",1255,7,"IN",2020-06-29
"0-19",2,0,"IN",2020-06-30
"20-29",6,0,"IN",2020-06-30
"30-39",16,0,"IN",2020-06-30
"40-49",45,0,"IN",2020-06-30
"50-59",123,0,"IN",2020-06-30
"60-69",395,1,"IN",2020-06-30
"70-79",599,2,"IN",2020-06-30
"80+",1262,6,"IN",2020-06-30
"0-19",2,0,"IN",2020-07-01
"20-29",6,0,"IN",2020-07-01
"30-39",16,0,"IN",2020-07-01
"40-49",45,0,"IN",2020-07-01
"50-59",125,2,"IN",2020-07-01
"60-69",397,2,"IN",2020-07-01
"70-79",599,0,"IN",2020-07-01
"80+",1266,4,"IN",2020-07-01
"0-19",2,0,"IN",2020-07-02
"20-29",7,1,"IN",2020-07-02
"30-39",16,0,"IN",2020-07-02
"40-49",46,1,"IN",2020-07-02
"50-59",125,0,"IN",2020-07-02
"60-69",397,0,"IN",2020-07-02
"70-79",600,1,"IN",2020-07-02
"80+",1276,10,"IN",2020-07-02
"0-19",2,0,"IN",2020-07-03
"20-29",7,0,"IN",2020-07-03
"30-39",17,1,"IN",2020-07-03
"40-49",46,0,"IN",2020-07-03
"50-59",128,3,"IN",2020-07-03
"60-69",397,0,"IN",2020-07-03
"70-79",605,5,"IN",2020-07-03
"80+",1286,10,"IN",2020-07-03
"0-19",2,0,"IN",2020-07-04
"20-29",7,0,"IN",2020-07-04
"30-39",18,1,"IN",2020-07-04
"40-49",46,0,"IN",2020-07-04
"50-59",128,0,"IN",2020-07-04
"60-69",397,0,"IN",2020-07-04
"70-79",607,2,"IN",2020-07-04
"80+",1289,3,"IN",2020-07-04
"0-19",2,0,"IN",2020-07-05
"20-29",7,0,"IN",2020-07-05
"30-39",18,0,"IN",2020-07-05
"40-49",46,0,"IN",2020-07-05
"50-59",129,1,"IN",2020-07-05
"60-69",399,2,"IN",2020-07-05
"70-79",609,2,"IN",2020-07-05
"80+",1290,1,"IN",2020-07-05
"0-19",2,0,"IN",2020-07-06
"20-29",7,0,"IN",2020-07-06
"30-39",18,0,"IN",2020-07-06
"40-49",46,0,"IN",2020-07-06
"50-59",129,0,"IN",2020-07-06
"60-69",399,0,"IN",2020-07-06
"70-79",610,1,"IN",2020-07-06
"80+",1294,4,"IN",2020-07-06
"0-19",2,0,"IN",2020-07-07
"20-29",7,0,"IN",2020-07-07
"30-39",18,0,"IN",2020-07-07
"40-49",46,0,"IN",2020-07-07
"50-59",129,0,"IN",2020-07-07
"60-69",402,3,"IN",2020-07-07
"70-79",615,5,"IN",2020-07-07
"80+",1305,11,"IN",2020-07-07
"0-19",2,0,"IN",2020-07-08
"20-29",7,0,"IN",2020-07-08
"30-39",18,0,"IN",2020-07-08
"40-49",46,0,"IN",2020-07-08
"50-59",130,1,"IN",2020-07-08
"60-69",404,2,"IN",2020-07-08
