"","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_federal","region_census","region_census_sub","consortium","region_census_sub_revised","region_same_as_census","governor_party"
"131","AL",2020-03-04,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"132","AL",2020-03-05,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"133","AL",2020-03-06,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"134","AL",2020-03-07,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"135","AL",2020-03-08,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"136","AL",2020-03-09,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"137","AL",2020-03-10,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"138","AL",2020-03-11,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"139","AL",2020-03-12,0,0,0,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"140","AL",2020-03-13,5,0,5,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"141","AL",2020-03-14,6,0,1,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"142","AL",2020-03-15,12,0,6,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"143","AL",2020-03-16,29,0,17,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"144","AL",2020-03-17,39,0,10,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"145","AL",2020-03-18,46,0,7,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"146","AL",2020-03-19,78,0,32,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"147","AL",2020-03-20,83,0,5,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"148","AL",2020-03-21,131,0,48,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"149","AL",2020-03-22,157,0,26,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"150","AL",2020-03-23,196,0,39,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"151","AL",2020-03-24,242,0,46,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"152","AL",2020-03-25,381,1,139,1,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"153","AL",2020-03-26,517,1,136,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"154","AL",2020-03-27,587,4,70,3,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"155","AL",2020-03-28,694,4,107,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"156","AL",2020-03-29,825,10,131,6,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"157","AL",2020-03-30,899,10,74,0,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"158","AL",2020-03-31,987,23,88,13,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"159","AL",2020-04-01,1060,27,73,4,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"160","AL",2020-04-02,1233,32,173,5,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"161","AL",2020-04-03,1495,38,262,6,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"162","AL",2020-04-04,1614,44,119,6,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"163","AL",2020-04-05,1765,45,151,1,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"164","AL",2020-04-06,1952,49,187,4,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"165","AL",2020-04-07,2169,64,217,15,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"166","AL",2020-04-08,2328,66,159,2,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"167","AL",2020-04-09,2703,70,375,4,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"168","AL",2020-04-10,2947,80,244,10,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"169","AL",2020-04-11,3217,92,270,12,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"170","AL",2020-04-12,3563,93,346,1,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"171","AL",2020-04-13,3734,99,171,6,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"172","AL",2020-04-14,3953,114,219,15,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"173","AL",2020-04-15,4075,118,122,4,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"174","AL",2020-04-16,4345,133,270,15,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"175","AL",2020-04-17,4571,148,226,15,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
"176","AL",2020-04-18,4712,153,141,5,"Alabama",95,4858979,4,"South","East South Central","","East South Central",1,"R"
