"","Date","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90+ years"
"22622",2020-04-25,0,0,2,4,10,22,46,81,60,41
"24097",2020-04-26,0,0,2,4,9,23,46,83,63,42
"25572",2020-04-27,0,0,2,4,9,24,47,87,66,42
"27047",2020-04-28,0,0,2,4,9,26,48,93,73,45
"28522",2020-04-29,0,0,3,4,9,26,48,96,77,45
"29997",2020-04-30,0,0,3,4,9,26,49,100,77,48
"31472",2020-05-01,0,0,3,4,9,30,52,101,80,48
"32947",2020-05-02,0,0,3,4,10,30,51,101,82,53
"34422",2020-05-03,0,0,3,4,10,30,52,101,82,57
"35897",2020-05-04,0,0,3,4,10,30,53,101,82,57
"37372",2020-05-05,0,0,4,4,11,32,55,103,85,59
"38847",2020-05-06,0,0,4,4,11,32,56,106,87,62
"40322",2020-05-07,0,0,4,5,11,33,57,110,91,63
"41797",2020-05-08,0,0,4,5,11,33,58,111,96,66
"43272",2020-05-09,0,0,4,5,11,33,61,117,96,71
"44747",2020-05-10,0,0,4,5,11,34,61,117,97,71
"46222",2020-05-11,0,0,4,5,11,34,61,119,100,75
"47697",2020-05-12,0,0,4,5,11,33,64,122,101,78
"49172",2020-05-13,0,0,4,5,11,35,64,123,101,78
"50647",2020-05-14,0,0,4,5,11,36,68,125,103,82
"52122",2020-05-15,0,0,4,5,11,37,70,126,109,83
"53597",2020-05-16,0,0,4,5,11,39,72,128,109,85
"55072",2020-05-17,0,0,4,5,11,39,72,128,109,85
"56547",2020-05-18,0,0,4,5,11,39,75,129,111,85
"58022",2020-05-19,0,0,4,5,12,40,77,129,114,86
"59497",2020-05-20,0,0,4,5,13,44,81,133,115,86
"60972",2020-05-21,0,0,4,5,13,44,80,135,116,90
"62447",2020-05-22,0,0,4,5,13,44,80,135,121,94
"63922",2020-05-23,0,0,4,7,14,44,83,137,124,94
"65397",2020-05-24,0,0,4,7,14,44,83,137,126,95
"66872",2020-05-25,0,0,4,7,15,44,83,137,128,96
"68347",2020-05-26,0,0,4,7,15,44,84,137,130,96
"69822",2020-05-27,0,0,5,7,16,46,86,141,138,100
"71297",2020-05-28,0,0,5,8,16,47,88,142,140,104
"72772",2020-05-29,0,0,6,8,16,49,91,146,144,108
"74247",2020-05-30,0,0,6,8,16,49,93,153,146,117
"75722",2020-05-31,0,0,6,8,16,49,93,155,147,118
"78671",2020-06-01,0,0,6,8,16,50,93,155,148,119
"80146",2020-06-02,0,0,6,8,17,50,95,157,153,121
"81621",2020-06-03,0,0,6,8,18,50,96,159,157,122
"83096",2020-06-04,0,0,6,8,18,51,99,162,157,125
"84571",2020-06-05,0,0,6,8,18,51,103,163,159,125
"86046",2020-06-06,0,0,6,8,19,52,105,167,163,125
"87521",2020-06-07,0,0,6,8,19,53,105,168,163,125
"88996",2020-06-08,0,0,6,8,19,53,104,168,163,125
"90471",2020-06-09,0,0,6,8,20,53,108,173,166,127
"91946",2020-06-10,0,0,6,8,21,54,112,175,168,127
"93421",2020-06-11,0,0,6,8,22,55,115,178,169,129
"94896",2020-06-12,0,0,6,8,22,55,115,182,169,132
"96371",2020-06-13,0,0,6,8,22,56,115,183,169,132
"97846",2020-06-14,0,0,6,8,22,56,115,184,169,132
"99321",2020-06-15,0,0,6,8,22,56,116,185,169,132
"100796",2020-06-16,0,0,6,8,22,57,117,188,170,135
"102271",2020-06-17,0,0,6,8,22,57,119,188,173,139
"103746",2020-06-18,0,0,7,8,22,58,119,190,175,140
"105221",2020-06-19,0,0,7,8,22,58,121,193,180,141
"106696",2020-06-20,0,0,7,8,22,58,125,196,184,144
"108171",2020-06-21,0,0,7,8,22,58,125,196,184,144
"109646",2020-06-22,0,0,7,8,22,58,125,197,184,144
"111121",2020-06-23,0,0,7,8,22,58,125,200,185,145
"112596",2020-06-24,0,0,8,8,22,58,125,200,188,148
"114071",2020-06-25,0,0,8,8,23,58,127,200,191,151
"115546",2020-06-26,0,0,8,8,23,58,127,200,190,152
"117021",2020-06-27,0,0,8,8,23,59,133,200,193,153
"118496",2020-06-28,0,0,8,8,23,59,133,200,193,153
"119971",2020-06-29,0,0,8,8,23,59,133,200,193,153
"121446",2020-06-30,0,0,8,8,23,59,133,204,193,156
"122921",2020-07-01,0,0,8,8,23,59,133,206,193,156
"124396",2020-07-02,0,0,8,8,24,60,133,206,197,157
"125871",2020-07-03,0,0,8,8,24,60,134,206,199,157
"127346",2020-07-04,0,0,8,8,24,60,134,206,199,157
"128821",2020-07-05,0,0,8,8,24,60,134,206,199,157
"130296",2020-07-06,0,0,8,8,24,60,134,206,199,157
"131771",2020-07-07,0,1,8,8,25,60,136,208,200,159
