"age","log_ifr_mean","log_ifr_cl","log_ifr_cu","ifr_mean","ifr_cl","ifr_cu"
37,-8.10909766383113,-8.51763121756201,-7.70056411284734,0.000300790164619684,0.000199912413954735,0.00045257180929184
38,-7.97472733727797,-8.37152905113285,-7.57792561449662,0.000344048701226711,0.000231361519545317,0.000511621423065662
39,-7.84035699334081,-8.22557968771866,-7.45513435664141,0.000393528528511524,0.000267717111855745,0.000578463934361935
40,-7.70598688817578,-8.07979792650233,-7.33217588838261,0.000450124256312847,0.000309733618050814,0.000654148682951927
41,-7.57161661611723,-7.93419882351209,-7.20903435513809,0.000514859445393085,0.000358278900384903,0.000739871263504028
42,-7.43724626098129,-7.78880017074865,-7.08569234768961,0.000588904656469822,0.000414349734783173,0.000836995095014572
43,-7.30287621408263,-7.64362187382331,-6.96213049838757,0.000673598572611809,0.000479090102016926,0.000947076678276062
44,-7.16850580621998,-7.49868478631966,-6.83832690166349,0.00077047310769558,0.000553812272846699,0.00107189528644085
45,-7.03413549438616,-7.35401334711948,-6.71425766377525,0.000881279706954956,0.000640018582344055,0.00121348649263382
46,-6.89976545132102,-7.20963420971023,-6.58989666596378,0.00100802183151245,0.000739427581429482,0.00137418195605278
47,-6.76539508368176,-7.06557604642196,-6.46521406359482,0.00115299187600613,0.000854002833366394,0.00155665799975395
48,-6.63102479673691,-6.92187135501729,-6.3401782997607,0.00131881088018417,0.000985983088612556,0.00176398769021034
49,-6.496654527514,-6.77855505848963,-6.21475412556218,0.00150847733020782,0.00113791793584824,0.00199970796704292
50,-6.36228440094019,-6.63566540017005,-6.08890336868451,0.00172542065382004,0.00131270498037338,0.00226789459586143
51,-6.2279140681237,-6.49324315950845,-5.96258491749345,0.00197356432676315,0.00151363208889961,0.00257325172424316
52,-6.09354381211221,-6.35133259762018,-5.83575504199775,0.00225739493966103,0.0017444209754467,0.00292121678590775
53,-5.95917359729616,-6.2099797070597,-5.70836753708775,0.00258204489946365,0.00200927823781967,0.00331808477640152
54,-5.82480327000306,-6.06923207333895,-5.58037446423897,0.0029533851146698,0.00231294870376587,0.00377115309238434
55,-5.69043309499781,-5.92913855989362,-5.45172758386239,0.00337812960147858,0.00266077309846878,0.00428888887166977
56,-5.55606281546543,-5.78974708106941,-5.32237861810351,0.00386395961046219,0.00305875569581985,0.00488112956285477
57,-5.42169251522033,-5.65110354295502,-5.19228154375938,0.00441965997219086,0.00351363718509674,0.00555930852890015
58,-5.28732232621616,-5.51325070625178,-5.06139390211356,0.00505527853965759,0.00403297603130341,0.00633672058582306
59,-5.15295206183447,-5.37622541347445,-4.92967876053741,0.00578230977058411,0.00462524741888046,0.00722882509231567
60,-5.01858177408884,-5.24005739691149,-4.79710617109912,0.00661390006542206,0.00529995262622833,0.00825359702110291
61,-4.88421149969145,-5.10476773619505,-4.66365533930076,0.00756508648395538,0.00606774806976318,0.0094319224357605
62,-4.74984127614998,-4.97036735661697,-4.52931527243076,0.00865306854248047,0.00694059789180756,0.010788060426712
63,-4.61547106371971,-4.83685658572148,-4.394085497764,0.00989751994609833,0.00793194830417633,0.0123501694202423
64,-4.48110083226253,-4.70422520603819,-4.25797640357122,0.0113209438323975,0.00905692875385284,0.0141509091854095
65,-4.34673049974962,-4.5724528450399,-4.12100824972042,0.0129490804672241,0.0103325843811035,0.0162281441688538
66,-4.21236028571862,-4.44151030582123,-3.98321028199061,0.0148113679885864,0.0117781364917755,0.0186257493495941
67,-4.07799004808937,-4.31136105761292,-3.84461902487836,0.0169414830207825,0.0134152781963348,0.0213945508003235
68,-3.94361980419055,-4.18196285962053,-3.70527664116345,0.019377943277359,0.0152685081958771,0.0245934128761292
69,-3.80924950382353,-4.05326995221193,-3.56522911280677,0.0221648073196411,0.0173654973506927,0.0282905030250549
70,-3.67487927137223,-3.92523423744553,-3.42452436013977,0.0253524661064148,0.0197375130653381,0.0325647664070129
71,-3.54050907417675,-3.79780723885067,-3.28321078904749,0.0289985609054565,0.0224198794364929,0.0375076341629028
72,-3.40613885091701,-3.67094114561902,-3.14133652540695,0.0331690239906311,0.02545250415802,0.0432249879837036
73,-3.27176850477854,-3.54458945014931,-2.99894760029775,0.0379392719268799,0.0288804769515991,0.0498394918441772
74,-3.13739831697006,-3.41870837339916,-2.85608817909685,0.0433955526351929,0.0327547144889832,0.0574932241439819
75,-3.00302801460984,-3.29325660342459,-2.71279933826882,0.0496365404129028,0.0371327257156372,0.0663508081436157
76,-2.86865780352343,-3.16819581187541,-2.56911987671656,0.0567750787734985,0.0420794486999512,0.0766029357910156
77,-2.73428755370042,-3.04349047964508,-2.42508453135958,0.0649402570724487,0.0476682138442993,0.0884706401824951
78,-2.59991733357849,-2.91910858979367,-2.28072615948116,0.0742797183990479,0.053981785774231,0.102209959030151
79,-2.4655470742955,-2.79502052758999,-2.13607349536219,0.0849623489379883,0.0611136198043823,0.118117723464966
80,-2.33117666696182,-2.6711996443231,-1.99115364112947,0.0971813297271729,0.0691691970825195,0.136537818908691
81,-2.19680662155531,-2.54762212664981,-1.84599106023799,0.111157560348511,0.0782675552368164,0.157868785858154
82,-2.06243630379976,-2.42426583583474,-1.70060678458839,0.127143831253052,0.0885431003570557,0.182572708129883
83,-1.92806596656919,-2.30111113174365,-1.55502076396005,0.145429191589355,0.100147504806519,0.211184997558594
84,-1.79369589030608,-2.17814102650493,-1.40925070799705,0.166344242095947,0.113251867294312,0.244326286315918
85,-1.65932557576071,-2.05533876216267,-1.2633122582716,0.19026725769043,0.128049449920654,0.282716045379639
86,-1.52495520247085,-1.9326905432195,-1.11721989587979,0.217630805969238,0.144758195877075,0.327188148498535
87,-1.39058509307568,-1.81018346353532,-0.970986797040118,0.248929615020752,0.163624114990234,0.378709144592285
88,-1.25621480202101,-1.68780533757257,-0.824624235980647,0.284729747772217,0.184924926757812,0.438399696350098
89,-1.12184451851354,-1.565546445336,-0.678142517803674,0.325678520202637,0.208973789215088,0.507558898925781
90,-0.987474104297065,-1.44339673189563,-0.53155131489399,0.372516441345215,0.23612434387207,0.587692565917969
91,-0.853104033508914,-1.32134810813669,-0.384859921371549,0.426090278625488,0.266775417327881,0.680545959472656
92,-0.718733735841457,-1.19939251247176,-0.238075145879442,0.487369003295898,0.301377239227295,0.788143463134766
93,-0.584363392806274,-1.07752269295308,-0.0912041420618635,0.557460632324219,0.340437850952148,0.912831344604492
94,-0.44999308516578,-0.955732798259607,0.0557465900488722,0.63763256072998,0.384530258178711,1.05732971191406
