Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2021,01/04/2020,01/02/2021,United States,Male,25-34 years,1359,48548,1489,582,113,2369,
01/06/2021,01/04/2020,01/02/2021,United States,Male,30-49 years,8522,135519,7663,3909,424,12640,
01/06/2021,01/04/2020,01/02/2021,United States,Male,35-44 years,3715,64075,3443,1687,184,5631,
01/06/2021,01/04/2020,01/02/2021,United States,Male,45-54 years,10061,111878,8968,4869,444,14528,
01/06/2021,01/04/2020,01/02/2021,United States,Male,50-64 years,30023,320347,29549,14957,1187,45599,
01/06/2021,01/04/2020,01/02/2021,United States,Male,55-64 years,23887,253487,23882,11916,919,36615,
01/06/2021,01/04/2020,01/02/2021,United States,Male,65-74 years,40863,365797,41442,20809,1035,62356,
01/06/2021,01/04/2020,01/02/2021,United States,Male,75-84 years,47988,401080,48671,23933,934,73531,
01/06/2021,01/04/2020,01/02/2021,United States,Male,85 years and over,41509,371601,41550,18696,723,64993,
01/06/2021,01/04/2020,01/02/2021,United States,Female,All Ages,143423,1515683,137840,62000,4202,223045,
01/06/2021,01/04/2020,01/02/2021,United States,Female,Under 1 year,11,7945,77,2,11,97,
01/06/2021,01/04/2020,01/02/2021,United States,Female,0-17 years,65,12890,235,13,79,366,
01/06/2021,01/04/2020,01/02/2021,United States,Female,1-4 years,8,1377,61,1,21,89,
01/06/2021,01/04/2020,01/02/2021,United States,Female,5-14 years,22,2106,68,2,38,126,
01/06/2021,01/04/2020,01/02/2021,United States,Female,15-24 years,198,8756,267,72,43,435,
01/06/2021,01/04/2020,01/02/2021,United States,Female,18-29 years,454,15843,627,211,72,939,
01/06/2021,01/04/2020,01/02/2021,United States,Female,25-34 years,770,20255,976,365,118,1493,
01/06/2021,01/04/2020,01/02/2021,United States,Female,30-49 years,4190,71536,4721,1920,374,7340,
01/06/2021,01/04/2020,01/02/2021,United States,Female,35-44 years,1844,33470,2086,818,168,3272,
01/06/2021,01/04/2020,01/02/2021,United States,Female,45-54 years,4901,66562,5553,2361,315,8374,
01/06/2021,01/04/2020,01/02/2021,United States,Female,50-64 years,16393,198750,18889,8262,873,27799,
01/06/2021,01/04/2020,01/02/2021,United States,Female,55-64 years,13348,158548,15384,6785,684,22558,
01/06/2021,01/04/2020,01/02/2021,United States,Female,65-74 years,25881,264552,27413,12798,822,41225,
01/06/2021,01/04/2020,01/02/2021,United States,Female,75-84 years,37935,368946,37132,17420,929,58472,
01/06/2021,01/04/2020,01/02/2021,United States,Female,85 years and over,58505,583166,48823,21376,1053,86904,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,All Ages,6,108,7,5,1,9,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,Under 1 year,0,29,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,0-17 years,0,30,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,15-24 years,0,2,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,18-29 years,0,2,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,25-34 years,0,4,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,30-49 years,0,8,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,35-44 years,0,4,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,50-64 years,1,13,2,1,1,3,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,55-64 years,0,10,1,0,1,2,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,65-74 years,1,11,1,1,0,1,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,75-84 years,2,15,3,2,0,3,
01/06/2021,01/04/2020,01/02/2021,United States,Unknown,85 years and over,2,29,1,1,0,2,
01/06/2021,01/04/2020,01/02/2021,Alabama,All Sexes,All Ages,5423,59153,4660,1749,130,8456,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,All Ages,2844,30703,2506,928,79,4496,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,Under 1 year,,185,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,0-17 years,,371,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,1-4 years,0,44,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,5-14 years,0,66,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,15-24 years,,506,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,18-29 years,16,817,11,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,25-34 years,24,874,29,,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,30-49 years,135,2643,137,44,,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,35-44 years,64,1254,68,25,,110,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,45-54 years,162,2237,128,43,,254,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,50-64 years,535,6574,458,158,27,861,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,55-64 years,433,5239,378,129,22,703,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,65-74 years,793,7468,687,259,24,1244,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,75-84 years,830,7585,734,281,10,1292,
01/06/2021,01/04/2020,01/02/2021,Alabama,Male,85 years and over,534,5245,476,182,,834,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,All Ages,2579,28450,2154,821,51,3960,
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,Under 1 year,,147,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,0-17 years,,228,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,1-4 years,0,34,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,5-14 years,0,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,15-24 years,,170,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,18-29 years,,287,12,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,25-34 years,15,387,21,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,30-49 years,102,1552,86,29,,165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,35-44 years,43,721,36,,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,45-54 years,139,1507,102,46,,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,50-64 years,394,4430,385,124,17,671,
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,55-64 years,301,3501,317,91,12,538,
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,65-74 years,563,5524,471,187,14,861,
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,75-84 years,705,7435,614,252,,1075,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Female,85 years and over,808,8994,581,226,,1166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,All Sexes,All Ages,169,4507,248,94,,332,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,All Ages,97,2586,134,49,,187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,Under 1 year,0,24,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,0-17 years,0,58,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,5-14 years,0,19,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,15-24 years,0,81,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,18-29 years,0,122,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,25-34 years,0,119,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,30-49 years,,304,16,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,35-44 years,,155,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,45-54 years,,210,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,50-64 years,13,597,25,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,55-64 years,12,469,22,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,65-74 years,28,583,28,14,0,42,
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,75-84 years,31,570,36,16,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Male,85 years and over,19,352,28,10,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,All Ages,72,1921,114,45,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,Under 1 year,0,13,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,0-17 years,0,29,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,15-24 years,,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,18-29 years,,59,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,25-34 years,,76,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,30-49 years,,205,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,35-44 years,,93,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,45-54 years,,132,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,50-64 years,14,346,23,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,55-64 years,13,281,19,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,65-74 years,11,389,22,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,75-84 years,14,399,20,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Alaska,Female,85 years and over,25,494,35,15,0,45,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,All Sexes,All Ages,7376,73019,7877,4264,146,11135,
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,All Ages,4290,40015,4545,2538,78,6375,
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,Under 1 year,0,216,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,0-17 years,,485,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,1-4 years,,59,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,5-14 years,,75,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,15-24 years,21,839,20,10,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,18-29 years,46,1381,47,29,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,25-34 years,67,1456,60,38,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,30-49 years,323,3613,256,174,,411,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,35-44 years,155,1723,121,83,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,45-54 years,334,2681,286,197,,431,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,50-64 years,899,7364,897,547,22,1271,
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,55-64 years,693,5794,715,422,15,1001,
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,65-74 years,1005,8677,1107,625,19,1506,
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,75-84 years,1164,10089,1289,689,14,1778,
01/06/2021,01/04/2020,01/02/2021,Arizona,Male,85 years and over,847,8406,941,472,11,1327,
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,All Ages,3086,33004,3332,1726,68,4760,
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,Under 1 year,0,170,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,0-17 years,,322,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,1-4 years,0,43,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,5-14 years,,63,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,15-24 years,,251,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,18-29 years,20,446,18,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,25-34 years,38,578,37,20,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,30-49 years,176,1783,161,100,,246,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,35-44 years,81,827,58,35,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,45-54 years,151,1516,166,96,,228,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,50-64 years,488,4405,527,281,14,748,
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,55-64 years,407,3508,436,234,11,620,
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,65-74 years,681,6122,773,422,19,1051,
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,75-84 years,828,8507,928,481,15,1290,
01/06/2021,01/04/2020,01/02/2021,Arizona,Female,85 years and over,892,11419,919,432,10,1389,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arkansas,All Sexes,All Ages,3310,36082,3479,1462,101,5423,
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,All Ages,1671,18775,1854,803,51,2772,
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,Under 1 year,0,134,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,0-17 years,0,256,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,1-4 years,0,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,5-14 years,0,37,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,15-24 years,,286,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,18-29 years,,436,10,0,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,25-34 years,13,483,15,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Arkansas,Male,30-49 years,70,1554,79,22,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
